time,gFx,gFy,gFz,TgF
0.006643,0.9803,0.0268,-0.1396,0.99
0.022936,0.9872,0.0209,-0.1519,1.00
0.049624,0.9798,0.0253,-0.1567,0.99
0.065236,0.9666,0.0268,-0.1470,0.98
0.091409,0.9676,0.0282,-0.1475,0.98
0.112641,0.9681,0.0317,-0.1411,0.98
0.122628,0.9681,0.0326,-0.1416,0.98
0.148317,0.9647,0.0263,-0.1543,0.98
0.172045,0.9779,0.0214,-0.1548,0.99
0.186378,0.9769,0.0165,-0.1528,0.99
0.205306,0.9774,0.0204,-0.1499,0.99
0.231203,0.9681,0.0331,-0.1528,0.98
0.247386,0.9681,0.0317,-0.1475,0.98
0.264162,0.9681,0.0287,-0.1509,0.98
0.289063,0.9700,0.0224,-0.1489,0.98
0.307022,0.9710,0.0229,-0.1553,0.98
0.331412,0.9686,0.0229,-0.1499,0.98
0.348526,0.9710,0.0268,-0.1543,0.98
0.379826,0.9740,0.0219,-0.1577,0.99
0.388983,0.9749,0.0214,-0.1611,0.99
0.407197,0.9740,0.0185,-0.1592,0.99
0.430897,0.9691,0.0214,-0.1538,0.98
0.448674,0.9725,0.0229,-0.1558,0.99
0.474712,0.9720,0.0282,-0.1582,0.99
0.489972,0.9705,0.0302,-0.1626,0.98
0.514218,0.9652,0.0238,-0.1597,0.98
0.532880,0.9656,0.0253,-0.1660,0.98
0.548957,0.9656,0.0238,-0.1655,0.98
0.573457,0.9735,0.0087,-0.1763,0.99
0.588503,0.9862,-0.0016,-0.1567,1.00
0.613201,0.9749,0.0009,-0.1631,0.99
0.630221,0.9534,0.0434,-0.1743,0.97
0.654387,0.9652,0.0326,-0.1670,0.98
0.676379,0.9725,0.0365,-0.1621,0.99
0.690044,0.9715,0.0326,-0.1690,0.99
0.715116,0.9642,0.0219,-0.1827,0.98
0.731790,0.9656,0.0243,-0.1827,0.98
0.755939,0.9681,0.0321,-0.1636,0.98
0.775812,0.9578,0.0331,-0.1851,0.98
0.796837,0.9422,0.0243,-0.2149,0.97
0.814745,0.9348,0.0297,-0.2325,0.96
0.832239,0.9133,0.0439,-0.2325,0.94
0.856519,0.8620,0.0571,-0.2369,0.90
0.877993,0.8273,0.0654,-0.2007,0.85
0.898002,0.8180,0.0634,-0.1836,0.84
0.915666,0.8278,0.0444,-0.1993,0.85
0.939986,0.8068,0.0033,-0.2252,0.84
0.956367,0.7711,-0.0119,-0.2496,0.81
0.977985,0.7481,-0.0075,-0.2355,0.78
0.996237,0.7325,-0.0021,-0.1988,0.76
1.013806,0.7266,-0.0006,-0.1734,0.75
1.039957,0.7657,0.0077,-0.1968,0.79
1.056327,0.8024,0.0414,-0.2115,0.83
1.085441,0.8806,0.0791,-0.2149,0.91
1.096516,0.9104,0.0703,-0.2213,0.94
1.113980,0.9402,0.0253,-0.2301,0.97
1.139959,0.9427,-0.0505,-0.2369,0.97
1.154998,0.9197,-0.0725,-0.2139,0.95
1.185459,0.8845,-0.0749,-0.2379,0.92
1.198230,0.8654,-0.0647,-0.2183,0.89
