time,gFx,gFy,gFz,TgF
0.006915,0.9862,0.0341,-0.1401,1.00
0.008074,0.9862,0.0341,-0.1421,1.00
0.026968,0.9813,0.0414,-0.1470,0.99
0.052704,0.9632,0.0409,-0.1382,0.97
0.069329,0.9627,0.0390,-0.1431,0.97
0.098028,0.9754,0.0160,-0.1514,0.99
0.110966,0.9842,0.0165,-0.1514,1.00
0.134163,0.9759,0.0312,-0.1440,0.99
0.151571,0.9676,0.0356,-0.1416,0.98
0.168976,0.9637,0.0409,-0.1377,0.97
0.192983,0.9725,0.0409,-0.1431,0.98
0.212216,0.9735,0.0409,-0.1475,0.99
0.241400,0.9740,0.0341,-0.1499,0.99
0.252124,0.9744,0.0321,-0.1509,0.99
0.283865,0.9573,0.0312,-0.1519,0.97
0.293037,0.9554,0.0341,-0.1523,0.97
0.310184,0.9593,0.0331,-0.1523,0.97
0.335287,0.9564,0.0380,-0.1607,0.97
0.352877,0.9471,0.0385,-0.1734,0.96
0.384756,0.9353,0.0654,-0.1567,0.95
0.398068,0.9246,0.0546,-0.1944,0.95
0.417961,0.9979,0.0610,-0.2809,1.04
0.435216,0.9368,0.0449,-0.2345,0.97
0.453273,0.9246,0.0258,-0.2115,0.95
0.481584,0.8967,0.0136,-0.2164,0.92
0.501036,0.8732,0.0121,-0.2223,0.90
0.519409,0.8605,0.0263,-0.2139,0.89
0.535256,0.8586,0.0365,-0.2120,0.89
0.555003,0.8522,0.0155,-0.2242,0.88
0.582476,0.7941,-0.0324,-0.2452,0.83
0.600923,0.7784,-0.0475,-0.2799,0.83
0.618609,0.8092,-0.0304,-0.2917,0.86
0.634133,0.8513,0.0048,-0.3029,0.90
0.660314,0.9207,0.0434,-0.3200,0.98
0.682610,0.9187,0.0537,-0.3269,0.98
0.700536,0.8943,0.0302,-0.3279,0.95
0.718381,0.8752,-0.0114,-0.3572,0.95
0.742745,0.9207,-0.0407,-0.3616,0.99
0.761300,0.9368,-0.0260,-0.3518,1.00
0.782778,0.9006,0.0268,-0.3039,0.95
0.800733,0.8708,0.0537,-0.2076,0.90
0.818210,0.8288,0.0248,-0.1509,0.84
0.844064,0.8033,-0.0749,-0.1934,0.83
