time,gFx,gFy,gFz,TgF
0.007647,0.9764,0.0566,-0.0834,0.98
0.026093,0.9784,0.0654,-0.0922,0.98
0.038615,0.9788,0.0664,-0.0859,0.98
0.064675,0.9798,0.0502,-0.0922,0.99
0.082455,0.9842,0.0370,-0.0971,0.99
0.112002,0.9798,0.0468,-0.0912,0.99
0.121876,0.9832,0.0507,-0.0922,0.99
0.147320,0.9764,0.0600,-0.0971,0.98
0.164583,0.9730,0.0615,-0.0937,0.98
0.187994,0.9715,0.0566,-0.0981,0.98
0.211294,0.9681,0.0507,-0.0971,0.97
0.221758,0.9676,0.0507,-0.0942,0.97
0.245654,0.9705,0.0449,-0.0961,0.98
0.263688,0.9720,0.0473,-0.1000,0.98
0.289157,0.9886,0.0512,-0.1074,1.00
0.306615,0.9842,0.0537,-0.1049,0.99
0.332359,0.9725,0.0634,-0.1059,0.98
0.346445,0.9676,0.0649,-0.1000,0.97
0.364072,0.9652,0.0654,-0.1030,0.97
0.388691,0.9617,0.0576,-0.1035,0.97
0.411865,0.9720,0.0473,-0.1240,0.98
0.430650,0.9808,0.0405,-0.1421,0.99
0.448190,0.9564,0.0468,-0.1465,0.97
0.471697,0.9177,0.0566,-0.1450,0.93
0.488826,0.9158,0.0620,-0.1445,0.93
0.505454,0.9148,0.0678,-0.1533,0.93
0.528145,0.9006,0.0737,-0.1616,0.92
0.547922,0.8918,0.0752,-0.1533,0.91
0.573509,0.8601,0.0571,-0.2012,0.89
0.589601,0.7486,0.0576,-0.2149,0.78
0.619908,0.8943,0.0395,-0.2672,0.93
0.629785,0.8840,0.0537,-0.2555,0.92
0.654754,0.8244,0.0703,-0.2296,0.86
0.671660,0.7877,0.0703,-0.1973,0.82
0.688294,0.7633,0.0815,-0.1954,0.79
0.718602,0.7295,0.0805,-0.2359,0.77
0.729641,0.7364,0.0649,-0.2252,0.77
0.755900,0.7618,0.0233,-0.2105,0.79
0.771834,0.7711,0.0116,-0.2296,0.80
0.789655,0.7906,0.0072,-0.2550,0.83
0.818188,0.8987,0.0165,-0.2731,0.94
0.829164,0.9544,0.0429,-0.2912,1.00
0.854573,1.0380,0.0830,-0.3596,1.10
0.872541,1.0629,0.0620,-0.3978,1.14
0.896076,1.0390,0.0556,-0.4061,1.12
0.919551,1.0048,0.0478,-0.3738,1.07
0.930226,0.9798,0.0468,-0.3630,1.05
0.955248,0.8669,0.0312,-0.3015,0.92
0.972376,0.8244,0.0375,-0.2892,0.87
0.996408,0.8180,0.0419,-0.2863,0.87
1.019438,0.8757,0.0605,-0.3054,0.93
1.036290,0.9319,0.0478,-0.3357,0.99
1.055622,0.9784,0.0541,-0.3552,1.04
1.072266,1.0219,0.0449,-0.3929,1.10
1.096409,1.0023,0.0243,-0.4124,1.08
1.117799,0.9554,0.0395,-0.3694,1.03
1.137272,0.9148,0.0713,-0.3425,0.98
1.154130,0.9094,0.0830,-0.3249,0.97
1.179707,0.9344,0.0639,-0.3787,1.01
1.195730,0.9300,0.0463,-0.4217,1.02
1.220135,0.9207,0.0092,-0.4051,1.01
1.238138,0.9304,0.0351,-0.3464,0.99
1.253835,0.9060,0.0600,-0.3244,0.96
1.281472,0.8537,0.1060,-0.3039,0.91
1.297539,0.8483,0.1089,-0.3220,0.91
1.319386,0.8889,0.1099,-0.2814,0.94
1.337794,0.9573,0.1079,-0.2765,1.00
1.362330,1.1138,0.0409,-0.2174,1.14
1.379797,1.1583,-0.0040,-0.2056,1.18
1.397134,1.1270,0.0194,-0.2022,1.15
1.418040,1.0712,0.0937,-0.1856,1.09
1.437109,1.0043,0.1451,-0.1900,1.03
1.463214,0.9392,0.1314,-0.0717,0.95
1.481576,0.9207,0.1241,0.0236,0.93
1.504976,1.0028,0.1451,0.0388,1.01
1.525972,1.0219,0.1465,0.0510,1.03
1.538817,0.9969,0.1138,0.0339,1.00
1.563487,1.0111,0.0424,-0.0243,1.01
1.581975,1.0013,0.0204,-0.0565,1.00
1.604155,0.9402,0.0268,-0.0800,0.94
1.628148,0.8830,0.0610,-0.0546,0.89
1.643968,0.8302,0.0688,-0.0355,0.83
1.662982,0.8053,0.0923,-0.0096,0.81
1.688039,0.8830,0.1045,-0.0599,0.89
1.703838,0.9925,0.1299,-0.0868,1.00
1.725317,1.2663,0.1593,-0.0257,1.28
1.743802,1.4545,0.1602,0.0500,1.46
1.762118,1.5665,0.1118,0.1063,1.57
1.789057,1.3753,0.0326,0.2109,1.39
1.805342,1.2111,-0.0163,0.3077,1.25
1.826442,0.9964,-0.0446,0.3136,1.05
1.843577,0.9109,-0.0339,0.3101,0.96
1.861246,0.8767,-0.0187,0.3160,0.93
1.885785,0.8322,-0.0431,0.3600,0.91
1.905390,0.8293,-0.0612,0.3507,0.90
1.926132,0.8957,-0.0559,0.2725,0.94
1.945371,0.9270,-0.0686,0.2363,0.96
1.970726,0.9412,-0.0554,0.2300,0.97
1.989364,0.9221,-0.0339,0.2480,0.96
2.004102,0.9417,-0.0187,0.2808,0.98
2.025526,0.9940,-0.0094,0.3126,1.04
2.043805,0.9964,-0.0109,0.3062,1.04
2.070868,0.9456,-0.0348,0.3233,1.00
2.089415,0.9407,-0.0700,0.3605,1.01
2.104830,0.9109,-0.0744,0.3761,0.99
2.137713,0.8996,-0.0412,0.4020,0.99
2.146443,0.9021,-0.0290,0.4001,0.99
2.169005,0.9128,-0.0207,0.3761,0.99
2.187580,0.9099,-0.0368,0.3727,0.98
2.213084,0.9324,-0.0676,0.4050,1.02
2.237132,0.9300,-0.0827,0.4250,1.03
2.252870,0.9182,-0.0735,0.4319,1.02
2.269786,0.9099,-0.0598,0.3996,1.00
2.286917,0.9363,-0.0407,0.3585,1.00
2.311936,0.9378,0.0023,0.2857,0.98
2.336428,0.9378,0.0405,0.1987,0.96
2.351821,0.9187,0.0625,0.1728,0.94
2.369207,0.9197,0.0830,0.1630,0.94
2.389126,0.9485,0.0791,0.1718,0.97
2.413865,0.9593,0.0835,0.1596,0.98
2.438606,0.9564,0.0937,0.1400,0.97
2.452266,0.9652,0.1021,0.1268,0.98
2.469832,0.9436,0.1079,0.1776,0.97
2.494756,0.9094,0.0977,0.3434,0.98
2.512342,0.9236,0.0727,0.4226,1.02
2.534329,0.9940,0.0532,0.4455,1.09
2.552935,1.0258,0.0840,0.3698,1.09
2.569340,1.0072,0.0898,0.3092,1.06
2.595423,0.9676,0.0849,0.2617,1.01
2.611407,0.9407,0.0693,0.2363,0.97
2.633356,0.9168,0.0688,0.1908,0.94
2.652751,0.9133,0.0849,0.1630,0.93
2.677476,0.9226,0.1162,0.1371,0.94
2.694699,0.9334,0.1446,0.1361,0.95
2.725534,0.9608,0.1759,0.1640,0.99
2.731548,0.9656,0.1744,0.1693,1.00
2.752311,0.9764,0.1553,0.2070,1.01
2.776745,0.9730,0.1172,0.2368,1.01
2.793582,0.9735,0.0908,0.2466,1.01
2.821085,0.9862,0.0698,0.2510,1.02
2.834606,0.9867,0.0639,0.2471,1.02
2.860317,0.9544,0.0595,0.2334,0.98
2.876745,0.9368,0.0644,0.2329,0.97
2.893041,0.9295,0.0639,0.2446,0.96
2.918436,0.9319,0.0703,0.2441,0.97
2.935371,0.9388,0.0820,0.2402,0.97
2.960294,0.9568,0.0864,0.2207,0.99
2.977024,0.9608,0.0840,0.2168,0.99
3.002175,0.9632,0.0717,0.2158,0.99
3.023366,0.9686,0.0634,0.2212,1.00
3.042287,0.9788,0.0625,0.2133,1.00
3.059528,0.9823,0.0595,0.2182,1.01
