time,gFx,gFy,gFz,TgF
0.007831,0.9529,0.0845,-0.0697,0.96
0.021807,0.9627,0.1084,-0.0785,0.97
0.043130,0.9730,0.1329,-0.0942,0.99
0.071663,0.9754,0.1353,-0.0878,0.99
0.085833,0.9764,0.1324,-0.0883,0.99
0.102058,0.9911,0.1270,-0.0951,1.00
0.125393,0.9774,0.1216,-0.0854,0.99
0.143829,0.9740,0.1221,-0.0917,0.99
0.172056,0.9744,0.1377,-0.0947,0.99
0.185663,0.9754,0.1431,-0.0942,0.99
0.209262,0.9691,0.1456,-0.0971,0.98
0.227611,0.9686,0.1407,-0.0898,0.98
0.243733,0.9652,0.1377,-0.0751,0.98
0.267478,0.9656,0.1324,-0.0805,0.98
0.283860,0.9754,0.1289,-0.0942,0.99
0.310518,0.9828,0.1236,-0.1020,1.00
0.327616,0.9823,0.1275,-0.0976,1.00
0.351646,0.9735,0.1338,-0.0863,0.99
0.367874,0.9661,0.1329,-0.0722,0.98
0.384722,0.9578,0.1299,-0.0609,0.97
0.409642,0.9539,0.1167,-0.0609,0.96
0.427597,0.9661,0.1079,-0.0629,0.97
0.457123,0.9906,0.1172,-0.0707,1.00
0.468055,0.9891,0.1250,-0.0727,1.00
0.493618,0.9691,0.1451,-0.0819,0.98
0.509818,0.9700,0.1461,-0.0849,0.98
0.527465,0.9872,0.1456,-0.0868,1.00
0.552693,0.9916,0.1402,-0.0966,1.01
0.578901,0.9876,0.1294,-0.0942,1.00
0.593049,0.9911,0.1265,-0.1020,1.00
0.609502,0.9901,0.1324,-0.1049,1.00
0.636258,0.9784,0.1524,-0.1162,1.00
0.651541,0.9700,0.1568,-0.1186,0.99
0.674870,0.9647,0.1558,-0.1147,0.98
0.694129,0.9637,0.1514,-0.1167,0.98
0.711015,0.9593,0.1509,-0.1289,0.98
0.735965,0.9622,0.1470,-0.1538,0.99
0.752605,0.9730,0.1461,-0.1734,1.00
0.775136,0.9632,0.1553,-0.2017,1.00
0.792059,0.9495,0.1607,-0.2051,0.98
0.809594,0.9451,0.1514,-0.1998,0.98
0.835582,0.9280,0.1280,-0.1915,0.96
0.851928,0.9124,0.1226,-0.1993,0.94
0.876573,0.8918,0.1329,-0.2198,0.93
0.893547,0.8830,0.1387,-0.2394,0.93
0.918994,0.8742,0.1358,-0.2658,0.92
0.935217,0.8674,0.1211,-0.2868,0.92
0.952887,0.8586,0.0923,-0.3166,0.92
0.974958,0.8302,0.0683,-0.3450,0.90
0.991410,0.8058,0.0620,-0.3645,0.89
