time,gFx,gFy,gFz,TgF
0.002206,0.9832,0.0375,-0.0717,0.99
0.018209,1.0028,0.0541,-0.0604,1.01
0.035435,0.9881,0.0610,-0.0551,0.99
0.056008,1.0248,0.0512,-0.0629,1.03
0.077859,0.9916,0.0532,-0.0599,0.99
0.094626,0.9803,0.0463,-0.0560,0.98
0.117892,0.9598,0.0615,-0.0697,0.96
0.136242,0.9700,0.0576,-0.0746,0.97
0.159182,0.9779,0.0693,-0.0727,0.98
0.176929,0.9813,0.0742,-0.0712,0.99
0.209113,0.9754,0.0693,-0.0795,0.98
0.218437,0.9720,0.0688,-0.0810,0.98
0.236294,0.9720,0.0747,-0.0868,0.98
0.260571,0.9862,0.0776,-0.0917,0.99
0.278281,0.9906,0.0761,-0.0951,1.00
0.310215,0.9793,0.0766,-0.1025,0.99
0.322443,0.9769,0.0771,-0.0971,0.98
0.343849,0.9769,0.0722,-0.0932,0.98
0.361788,0.9798,0.0664,-0.0937,0.99
0.376965,0.9847,0.0615,-0.1000,0.99
0.410104,0.9798,0.0669,-0.1137,0.99
0.423716,0.9784,0.0752,-0.1157,0.99
0.444018,0.9798,0.0771,-0.1186,0.99
0.460947,0.9715,0.0776,-0.1343,0.98
0.479427,0.9564,0.0761,-0.1382,0.97
0.507234,0.9539,0.0791,-0.1289,0.97
0.519262,0.9588,0.0825,-0.1279,0.97
0.545938,0.9529,0.0869,-0.1220,0.96
0.562433,0.9383,0.0879,-0.1211,0.95
0.587807,0.9241,0.0801,-0.1118,0.93
0.607511,0.9153,0.0659,-0.1035,0.92
0.626684,0.9026,0.0517,-0.1059,0.91
0.644460,0.8982,0.0483,-0.1191,0.91
0.669149,0.8918,0.0625,-0.1519,0.91
0.685174,0.8713,0.0791,-0.1797,0.89
0.707459,0.8121,0.0967,-0.2071,0.84
0.725868,0.7853,0.1123,-0.2061,0.82
0.745291,0.7755,0.1250,-0.1988,0.81
0.768461,0.8121,0.0986,-0.1572,0.83
0.786994,0.8366,0.0585,-0.1719,0.86
0.807448,0.8351,0.0229,-0.2472,0.87
0.827489,0.7760,0.0199,-0.3166,0.84
0.843985,0.7300,0.0390,-0.3156,0.80
0.869570,0.7486,0.0742,-0.2174,0.78
0.886436,0.7647,0.1421,-0.1983,0.80
0.909487,1.0219,0.1534,-0.1993,1.05
0.928031,1.0272,0.1500,-0.3044,1.08
0.945675,0.9666,0.1016,-0.4173,1.06
0.969907,0.9026,0.0180,-0.3718,0.98
0.986780,0.9168,0.0018,-0.3474,0.98
1.007920,0.9505,0.0253,-0.3782,1.02
1.028333,0.9216,0.0537,-0.3914,1.00
1.053222,0.7755,0.0654,-0.3572,0.86
1.068748,0.7325,0.0673,-0.3230,0.80
1.093522,0.7681,0.0541,-0.3279,0.84
1.114208,0.8913,0.0449,-0.4007,0.98
1.127952,0.9275,0.0801,-0.4838,1.05
1.153306,0.8899,0.1622,-0.5620,1.06
1.169005,0.8601,0.1837,-0.5307,1.03
1.195156,0.9001,0.2199,-0.4975,1.05
1.217272,0.8625,0.2189,-0.4721,1.01
1.234258,0.7965,0.1998,-0.4804,0.95
1.251396,0.7530,0.1593,-0.4481,0.89
1.278991,0.7686,0.1637,-0.4618,0.91
1.294213,0.7633,0.1529,-0.4799,0.91
1.313176,0.7359,0.1299,-0.4760,0.89
1.335412,0.8361,0.1094,-0.4770,0.97
1.351011,0.8654,0.1128,-0.5185,1.02
1.377837,0.8117,0.1153,-0.5562,0.99
1.399310,0.8180,0.1123,-0.5786,1.01
1.416992,0.8273,0.1470,-0.5830,1.02
1.435276,0.8180,0.1622,-0.6075,1.03
1.451610,0.7950,0.1739,-0.6192,1.02
1.476183,0.7901,0.2257,-0.6574,1.05
1.493876,0.7461,0.2331,-0.6486,1.02
1.515582,0.7838,0.1891,-0.6319,1.02
1.535691,0.7369,0.2252,-0.6158,0.99
1.559440,0.7007,0.2140,-0.5791,0.93
1.577609,0.7114,0.1783,-0.5835,0.94
1.593085,0.7173,0.1681,-0.5738,0.93
1.616654,0.8249,0.1739,-0.4550,0.96
1.635799,1.1074,0.2155,-0.3831,1.19
1.659239,1.6242,0.2331,-0.2301,1.66
1.677003,1.7273,0.1637,-0.1426,1.74
1.702248,1.6657,0.1690,-0.3508,1.71
1.724542,1.5650,0.1720,-0.2496,1.59
1.734005,1.6114,0.0889,-0.1998,1.63
1.760623,1.4237,0.1485,-0.0692,1.43
1.777440,1.2673,0.1143,-0.0135,1.27
1.807450,0.8571,0.1338,-0.0502,0.87
1.817260,0.7393,0.1074,-0.0976,0.75
1.836478,0.5379,0.0893,-0.1079,0.56
1.860699,0.4934,0.0977,0.0500,0.51
1.884912,0.6405,0.1529,0.1522,0.68
1.907392,0.8478,0.1661,0.1566,0.88
1.917605,0.9114,0.1656,0.1537,0.94
1.943198,0.9818,0.0864,0.1635,1.00
1.959612,1.0106,0.0458,0.2089,1.03
1.983653,1.1387,0.0341,0.2749,1.17
2.001427,1.1177,0.0321,0.3023,1.16
2.025677,0.9940,0.0087,0.3874,1.07
2.043088,0.9559,-0.0187,0.4143,1.04
2.059553,0.9691,-0.0109,0.3747,1.04
