time,gFx,gFy,gFz,TgF
0.011940,0.9920,0.0566,-0.0810,1.00
0.016086,0.9925,0.0590,-0.0834,1.00
0.037444,0.9828,0.0541,-0.0844,0.99
0.053662,0.9735,0.0551,-0.0756,0.98
0.079580,0.9647,0.0400,-0.0702,0.97
0.095626,0.9686,0.0669,-0.0741,0.97
0.119833,0.9798,0.0546,-0.0834,0.98
0.137471,0.9852,0.0551,-0.0912,0.99
0.160374,0.9876,0.0556,-0.0951,0.99
0.178445,0.9867,0.0537,-0.0898,0.99
0.202753,0.9803,0.0537,-0.0859,0.99
0.221200,0.9720,0.0541,-0.0834,0.98
0.236561,0.9720,0.0537,-0.0805,0.98
0.261147,0.9769,0.0522,-0.0815,0.98
0.278359,0.9779,0.0493,-0.0829,0.98
0.302711,0.9832,0.0537,-0.0878,0.99
0.320151,0.9832,0.0546,-0.0883,0.99
0.337052,0.9823,0.0561,-0.0888,0.99
0.361730,0.9808,0.0566,-0.0888,0.99
0.387014,0.9793,0.0497,-0.0878,0.98
0.403661,0.9583,0.0546,-0.0771,0.96
0.419802,0.9686,0.0590,-0.0815,0.97
0.449681,0.9823,0.0551,-0.0956,0.99
0.461218,0.9818,0.0551,-0.0951,0.99
0.487857,0.9808,0.0532,-0.0981,0.99
0.505458,0.9788,0.0546,-0.0976,0.99
0.521722,0.9759,0.0537,-0.0917,0.98
0.548782,0.9696,0.0561,-0.0917,0.98
0.560286,0.9705,0.0537,-0.0932,0.98
0.586404,0.9744,0.0517,-0.0986,0.98
0.605654,0.9788,0.0522,-0.1108,0.99
0.623201,0.9740,0.0497,-0.1211,0.98
0.647839,0.9578,0.0639,-0.1274,0.97
0.670232,0.9559,0.0796,-0.1421,0.97
0.687713,0.9524,0.1148,-0.1484,0.97
0.703414,0.9656,0.1177,-0.1455,0.98
0.735516,0.9500,0.1084,-0.1460,0.97
0.748275,0.9495,0.1133,-0.1543,0.97
0.769660,0.9784,0.1480,-0.1660,1.00
0.786184,0.9925,0.1988,-0.1655,1.03
0.804290,0.9774,0.2336,-0.1792,1.02
0.828328,0.9534,0.2101,-0.1846,0.99
0.850258,0.9383,0.1392,-0.1812,0.97
0.870256,0.9373,0.0556,-0.1802,0.96
0.885767,0.9402,0.0126,-0.1846,0.96
0.911476,0.9309,-0.0045,-0.1797,0.95
0.928394,0.9285,0.0131,-0.1773,0.95
0.952010,0.9246,0.0507,-0.1890,0.95
0.969992,0.9153,0.0605,-0.2007,0.94
0.985283,0.9065,0.0483,-0.2095,0.93
1.010657,0.9060,0.0131,-0.2203,0.93
1.028219,0.9226,0.0106,-0.2183,0.95
1.053587,0.9334,0.0307,-0.2496,0.97
1.071053,0.9143,0.0380,-0.2721,0.95
1.093729,0.8669,0.0346,-0.2829,0.91
1.111882,0.8234,0.0199,-0.2809,0.87
1.140156,0.7804,-0.0021,-0.2340,0.81
1.151934,0.7765,-0.0177,-0.2164,0.81
1.167710,0.7677,-0.0075,-0.2335,0.80
1.193790,0.7911,0.0512,-0.2711,0.84
1.211559,0.8043,0.0678,-0.2755,0.85
1.240943,0.8302,0.0082,-0.2589,0.87
1.251005,0.8385,-0.0177,-0.2604,0.88
1.278251,0.8762,-0.0236,-0.2936,0.92
1.293754,0.9055,0.0214,-0.3303,0.96
1.317762,0.9216,0.1138,-0.3186,0.98
1.336287,0.8879,0.1392,-0.2883,0.94
1.350162,0.8439,0.1280,-0.2995,0.90
1.377161,0.8205,0.0766,-0.3054,0.88
1.395015,0.8429,0.0307,-0.2951,0.89
1.419674,0.9026,-0.0407,-0.2941,0.95
1.440915,0.9666,-0.0309,-0.3318,1.02
1.458744,1.0272,-0.0133,-0.3792,1.10
1.477330,1.0888,0.0312,-0.4251,1.17
1.494000,1.0536,0.0703,-0.3586,1.12
