time,gFx,gFy,gFz,TgF
0.011077,0.9852,0.0287,-0.0516,0.99
0.034038,0.9867,0.0253,-0.0541,0.99
0.051097,0.9730,0.0224,-0.0526,0.97
0.074049,0.9696,0.0150,-0.0507,0.97
0.091993,0.9730,0.0101,-0.0492,0.97
0.118245,0.9779,0.0101,-0.0541,0.98
0.135473,0.9803,0.0126,-0.0570,0.98
0.152428,0.9847,0.0160,-0.0609,0.99
0.174714,0.9862,0.0248,-0.0658,0.99
0.192503,0.9788,0.0224,-0.0624,0.98
0.216511,0.9793,0.0185,-0.0639,0.98
0.234361,0.9793,0.0175,-0.0683,0.98
0.259422,0.9803,0.0150,-0.0648,0.98
0.283600,0.9793,0.0121,-0.0614,0.98
0.294093,0.9779,0.0131,-0.0624,0.98
0.316755,0.9759,0.0189,-0.0648,0.98
0.333662,0.9744,0.0170,-0.0634,0.98
0.356069,0.9842,0.0126,-0.0614,0.99
0.374505,0.9876,0.0136,-0.0653,0.99
0.400538,0.9828,0.0165,-0.0683,0.99
0.416095,0.9818,0.0160,-0.0736,0.98
0.438290,0.9754,-0.0207,-0.0365,0.98
0.461027,0.9524,0.0150,-0.0477,0.95
0.476403,0.9515,0.0092,-0.0399,0.95
0.500177,0.9852,-0.0084,-0.1035,0.99
0.519180,0.9896,0.0092,-0.0878,0.99
0.544243,0.9989,0.0062,-0.0859,1.00
0.559951,0.9979,0.0077,-0.0927,1.00
0.581022,0.9974,0.0043,-0.0873,1.00
0.601560,0.9920,-0.0011,-0.0859,1.00
0.618468,0.9842,0.0013,-0.0829,0.99
0.644186,0.9793,0.0067,-0.0800,0.98
0.659648,0.9769,0.0082,-0.0766,0.98
0.680282,0.9779,0.0043,-0.0805,0.98
0.701354,0.9847,0.0018,-0.0863,0.99
0.726423,0.9964,-0.0060,-0.0854,1.00
0.742344,0.9964,-0.0006,-0.0873,1.00
0.759897,0.9847,0.0033,-0.0824,0.99
0.781530,0.9720,0.0077,-0.0795,0.98
0.800353,0.9681,0.0023,-0.0815,0.97
0.825662,0.9779,-0.0060,-0.0956,0.98
0.841720,0.9803,-0.0123,-0.1020,0.99
0.861297,0.9847,-0.0143,-0.1079,0.99
0.881742,0.9862,-0.0104,-0.1083,0.99
0.901019,0.9857,-0.0070,-0.1132,0.99
0.925317,0.9774,-0.0070,-0.1137,0.98
0.942184,0.9691,-0.0001,-0.1098,0.98
0.967774,0.9544,0.0097,-0.1000,0.96
0.994175,0.9446,0.0145,-0.0834,0.95
1.007836,0.9515,0.0111,-0.0751,0.95
1.026311,0.9647,0.0097,-0.0678,0.97
1.042050,0.9832,0.0141,-0.0717,0.99
1.069849,1.0008,0.0307,-0.0951,1.01
1.098283,0.9940,0.0605,-0.1088,1.00
1.101917,0.9916,0.0664,-0.1118,1.00
1.126798,0.9920,0.1001,-0.1152,1.00
1.150158,0.9925,0.1299,-0.1235,1.01
1.169253,0.9955,0.1480,-0.1328,1.02
1.195912,1.0008,0.1588,-0.1338,1.02
1.208987,0.9984,0.1602,-0.1274,1.02
1.225082,0.9916,0.1563,-0.1245,1.01
1.251318,0.9647,0.1446,-0.1171,0.98
1.266997,0.9456,0.1412,-0.1162,0.96
1.293042,0.9358,0.1304,-0.1030,0.95
1.307882,0.9314,0.1338,-0.1005,0.95
1.325868,0.9246,0.1470,-0.1015,0.94
1.351052,0.9339,0.1495,-0.1000,0.95
1.369307,0.9392,0.1529,-0.0976,0.96
1.395298,0.9334,0.1578,-0.0903,0.95
1.408635,0.9216,0.1607,-0.0766,0.94
1.434231,0.9182,0.1417,-0.0555,0.93
1.450182,0.9549,0.1016,-0.0433,0.96
1.481302,1.1206,-0.0089,-0.0849,1.12
1.490948,1.1744,-0.0461,-0.1074,1.18
1.509270,1.1431,-0.0563,-0.1509,1.15
1.534368,1.0302,0.0204,-0.1313,1.04
1.549929,0.9632,0.0546,-0.1074,0.97
1.579936,0.8566,0.0830,-0.0648,0.86
1.592447,0.8390,0.0918,-0.0467,0.85
1.610035,0.9212,0.0537,-0.0614,0.92
1.634761,0.9749,0.0101,-0.0727,0.98
1.649334,1.0004,-0.0163,-0.0844,1.00
1.679426,1.0312,-0.0339,-0.1079,1.04
1.692450,1.0292,-0.0275,-0.1049,1.03
1.715995,1.0082,-0.0099,-0.0859,1.01
1.733530,0.9867,0.0170,-0.0643,0.99
1.758351,0.9495,0.0532,-0.0565,0.95
1.780555,0.9471,0.0581,-0.0683,0.95
1.794734,0.9451,0.0497,-0.0785,0.95
1.815783,0.9534,0.0312,-0.0868,0.96
1.833162,0.9705,0.0072,-0.0898,0.97
1.857700,0.9960,-0.0060,-0.0800,1.00
1.879374,1.0253,-0.0045,-0.0648,1.03
1.899021,1.0155,0.0150,-0.0399,1.02
1.917353,0.9862,0.0346,-0.0267,0.99
1.934731,0.9598,0.0365,-0.0145,0.96
1.957603,0.9529,0.0331,-0.0301,0.95
1.975386,0.9647,0.0273,-0.0580,0.97
2.001683,0.9896,0.0209,-0.0883,0.99
2.015463,1.0082,0.0038,-0.0986,1.01
2.041129,1.0277,-0.0524,-0.1049,1.03
2.057335,1.0233,-0.0803,-0.1000,1.03
2.088556,0.9627,-0.0383,-0.0673,0.97
2.097844,0.9480,-0.0109,-0.0585,0.95
2.115414,0.9324,0.0463,-0.0502,0.93
