time,gFx,gFy,gFz,TgF
0.005444,0.9818,0.0346,-0.0712,0.98
0.019854,0.9876,0.0356,-0.0663,0.99
0.044198,0.9784,0.0449,-0.0678,0.98
0.060226,0.9691,0.0493,-0.0634,0.97
0.085168,0.9735,0.0507,-0.0639,0.98
0.101992,0.9749,0.0468,-0.0639,0.98
0.127291,0.9847,0.0502,-0.0702,0.99
0.144212,0.9852,0.0488,-0.0722,0.99
0.160624,0.9842,0.0527,-0.0707,0.99
0.185488,0.9828,0.0605,-0.0692,0.99
0.202916,0.9779,0.0654,-0.0692,0.98
0.227171,0.9832,0.0595,-0.0697,0.99
0.251243,0.9842,0.0571,-0.0683,0.99
0.276099,0.9735,0.0507,-0.0697,0.98
0.292956,0.9681,0.0493,-0.0609,0.97
0.311290,0.9730,0.0409,-0.0683,0.98
0.326549,0.9896,0.0400,-0.0673,0.99
0.351083,0.9906,0.0419,-0.0736,0.99
0.368043,0.9803,0.0424,-0.0805,0.98
0.392861,0.9681,0.0434,-0.0751,0.97
0.410295,0.9637,0.0419,-0.0697,0.97
0.427365,0.9490,0.0351,-0.0614,0.95
0.453064,0.9471,0.0229,-0.0609,0.95
0.469941,0.9715,0.0170,-0.0663,0.97
0.492733,0.9798,0.0087,-0.0712,0.98
0.508647,0.9515,0.0356,-0.1113,0.96
0.534826,1.0072,0.0546,-0.0991,1.01
0.552273,1.0297,0.0502,-0.1328,1.04
0.572563,1.0400,0.0625,-0.1206,1.05
0.592817,1.0199,0.0077,-0.1088,1.03
0.610318,1.0302,-0.0138,-0.1054,1.04
0.634607,0.9744,-0.0089,-0.0844,0.98
0.652245,0.9627,0.0028,-0.0819,0.97
0.676983,0.9520,0.0224,-0.1035,0.96
0.693287,0.9568,0.0317,-0.1176,0.96
0.718408,0.9686,0.0458,-0.1333,0.98
0.733819,0.9691,0.0527,-0.1308,0.98
0.762596,0.9432,0.0810,-0.1162,0.95
0.775927,0.9207,0.1055,-0.0942,0.93
0.801184,0.9158,0.1373,-0.0453,0.93
0.818660,0.9348,0.1377,-0.0472,0.95
0.835454,0.9705,0.1197,-0.0795,0.98
0.860009,1.0468,0.0840,-0.1416,1.06
0.876360,1.0693,0.0742,-0.1802,1.09
0.901755,1.0629,0.1143,-0.1983,1.09
0.918365,1.0238,0.1583,-0.1763,1.05
0.943981,0.9593,0.2267,-0.0986,0.99
0.959856,0.9168,0.2546,-0.0692,0.95
0.984012,0.8962,0.2394,-0.0687,0.93
1.000217,0.9050,0.2003,-0.0736,0.93
1.017278,0.9207,0.1690,-0.0795,0.94
1.041821,0.9505,0.1289,-0.1054,0.96
1.059836,0.9749,0.1172,-0.1171,0.99
1.083623,0.9969,0.1451,-0.1264,1.02
1.100700,0.9955,0.1812,-0.1318,1.02
1.126040,0.9852,0.2155,-0.1396,1.02
1.142285,0.9867,0.2336,-0.1391,1.02
1.168210,0.9857,0.2316,-0.1132,1.02
1.184043,0.9842,0.2135,-0.0966,1.01
1.208464,0.9779,0.1822,-0.0824,1.00
1.225165,0.9642,0.1646,-0.0653,0.98
1.251111,0.9490,0.1539,-0.0580,0.96
1.270812,0.9554,0.1553,-0.0653,0.97
1.292025,0.9466,0.1514,-0.0526,0.96
1.308172,0.9221,0.1646,-0.0448,0.94
1.325053,0.9006,0.1759,-0.0340,0.92
1.350138,0.9099,0.1856,-0.0130,0.93
1.369632,0.9392,0.1783,-0.0027,0.96
1.390984,0.9539,0.1705,-0.0003,0.97
1.408036,0.9642,0.1720,0.0016,0.98
1.432890,0.9740,0.1803,0.0065,0.99
1.450571,0.9940,0.1793,0.0324,1.01
1.470451,1.0409,0.1593,0.0623,1.05
1.491004,1.0976,0.1289,0.0637,1.11
1.516129,1.1495,0.1201,-0.1005,1.16
1.532461,1.2751,0.1426,-0.2086,1.30
1.553514,1.3269,0.1421,-0.3459,1.38
1.577016,1.1666,0.1656,-0.3982,1.24
1.590764,1.0434,0.1641,-0.3846,1.12
1.618386,0.8068,0.1138,-0.3166,0.87
1.632593,0.7183,0.0620,-0.2619,0.77
1.658323,0.6674,-0.0573,-0.2306,0.71
1.677000,0.7931,-0.1043,-0.2653,0.84
1.699437,1.0057,-0.0994,-0.3362,1.07
1.718415,1.0947,-0.0246,-0.3327,1.14
1.740771,1.0854,0.0884,-0.2956,1.13
1.757678,1.0400,0.1539,-0.3015,1.09
1.777951,0.9632,0.1837,-0.2790,1.02
1.798831,0.8772,0.1368,-0.2663,0.93
1.816288,0.8415,0.0346,-0.2374,0.88
1.840643,0.8654,-0.0710,-0.2027,0.89
1.857024,0.8786,-0.1087,-0.1944,0.91
1.882322,0.9143,-0.1165,-0.1963,0.94
1.898449,0.9236,-0.0984,-0.1968,0.95
1.924315,0.9187,-0.0436,-0.1915,0.94
1.940408,0.9314,0.0072,-0.1929,0.95
1.968253,0.9114,0.0986,-0.1758,0.93
1.982066,0.9031,0.1104,-0.1523,0.92
1.998690,0.8957,0.0893,-0.1103,0.91
2.024368,0.8938,0.0165,-0.0727,0.90
2.040613,0.8996,-0.0138,-0.0536,0.90
2.065514,0.9143,-0.0544,-0.0194,0.92
2.082012,0.9124,-0.0529,0.0007,0.91
2.099100,0.9158,-0.0397,0.0046,0.92
2.123853,0.9700,-0.0373,-0.0272,0.97
2.140099,1.0150,-0.0647,-0.0668,1.02
2.167480,1.1583,-0.1131,-0.0218,1.16
2.181617,1.2262,-0.0744,0.0153,1.23
2.206604,1.2888,0.0219,0.0496,1.29
2.224214,1.1446,-0.0343,0.0095,1.15
2.248471,1.1451,-0.1219,-0.1299,1.16
2.265397,1.2287,-0.1522,-0.2599,1.27
2.283934,1.1935,-0.0847,-0.3508,1.25
2.306513,1.0893,-0.0075,-0.4853,1.19
2.323922,0.8816,0.1265,-0.5239,1.03
2.349449,0.6684,0.3543,-0.3894,0.85
2.368126,0.6933,0.4316,-0.2506,0.85
2.390325,0.8283,0.3876,-0.1308,0.92
2.406262,0.9544,0.2771,-0.1289,1.00
2.432213,1.1255,0.0273,-0.2594,1.16
2.447709,1.1509,-0.0896,-0.3054,1.19
2.467138,1.0224,-0.1302,-0.2971,1.07
2.490535,0.8698,-0.0490,-0.1880,0.89
2.507206,0.7730,0.0610,-0.1103,0.78
2.532624,0.7310,0.1549,-0.0863,0.75
2.550049,0.7222,0.1984,-0.1059,0.76
2.570099,0.7696,0.2516,-0.1103,0.82
2.589935,0.8121,0.2477,-0.1123,0.86
2.614498,0.8718,0.2032,-0.1230,0.90
2.632099,0.8987,0.1773,-0.1352,0.93
2.648145,0.9011,0.1431,-0.1176,0.92
2.674614,0.8894,0.0874,-0.0780,0.90
2.691176,0.8908,0.0757,-0.0477,0.90
2.714282,0.9016,0.0879,-0.0223,0.91
2.732278,0.9270,0.0937,-0.0067,0.93
2.749389,0.9803,0.0805,0.0036,0.98
2.776383,1.1226,0.0644,0.0285,1.12
2.790044,1.1837,0.0713,0.0266,1.19
2.815390,1.2032,0.0933,-0.0707,1.21
2.831989,1.2604,0.1505,-0.0252,1.27
2.857144,1.3533,0.2707,0.2006,1.39
2.873437,1.3489,0.2639,0.0412,1.38
2.893112,1.2526,0.2145,-0.2785,1.30
2.917523,1.1123,0.1676,-0.4916,1.23
2.939593,1.1382,0.1431,-0.6212,1.30
2.957164,1.0189,0.0248,-0.6564,1.21
2.985210,0.8038,-0.1380,-0.4276,0.92
2.997146,0.7598,-0.1825,-0.3059,0.84
3.015252,0.7711,-0.1575,-0.1567,0.80
3.039172,0.8029,-0.0544,-0.0907,0.81
3.056837,0.8273,0.0801,-0.1167,0.84
3.085095,0.8957,0.2380,-0.2174,0.95
3.098174,0.9094,0.2355,-0.2711,0.98
3.115471,0.8767,0.1798,-0.3044,0.95
3.139061,0.8263,0.0541,-0.3088,0.88
3.157966,0.8048,-0.0402,-0.2575,0.85
3.183013,0.7897,-0.1121,-0.1308,0.81
3.197280,0.8092,-0.1126,-0.0805,0.82
3.223290,0.9089,-0.1331,-0.1088,0.93
3.239835,0.8948,-0.0735,-0.1494,0.91
3.264636,0.8992,0.0219,-0.1440,0.91
3.285260,0.8698,0.0903,-0.0863,0.88
3.297316,0.8586,0.1006,-0.0614,0.87
3.321609,0.8429,0.0673,-0.0106,0.85
3.339419,0.9050,-0.0021,0.0016,0.91
3.364775,1.0292,-0.0241,-0.0228,1.03
3.381170,1.1231,-0.0192,-0.0433,1.12
3.405419,1.2516,0.0175,-0.0262,1.25
3.422419,1.2878,0.0732,0.0564,1.29
3.447674,1.2096,0.1402,0.1913,1.23
3.465288,1.0972,0.0845,0.1180,1.11
3.484916,0.9930,0.0116,-0.2428,1.02
3.505444,1.1856,-0.3252,-0.5967,1.37
3.524904,1.1900,-0.3208,-0.7493,1.44
