time,gFx,gFy,gFz,TgF
0.004680,0.9793,0.0708,-0.0360,0.98
0.021764,0.9539,0.0439,-0.0213,0.96
0.035018,0.9754,0.0356,-0.0111,0.98
0.059774,0.9798,0.0170,-0.0267,0.98
0.075713,0.9788,0.0238,-0.0321,0.98
0.100836,0.9813,0.0409,-0.0458,0.98
0.117022,0.9832,0.0473,-0.0487,0.99
0.142557,0.9950,0.0468,-0.0428,1.00
0.159233,0.9935,0.0453,-0.0448,1.00
0.191427,0.9808,0.0356,-0.0296,0.98
0.202249,0.9779,0.0356,-0.0306,0.98
0.217408,0.9847,0.0370,-0.0419,0.99
0.241897,0.9852,0.0395,-0.0345,0.99
0.259470,0.9901,0.0405,-0.0345,0.99
0.291753,0.9779,0.0444,-0.0448,0.98
0.300779,0.9676,0.0444,-0.0419,0.97
0.325072,0.9803,0.0375,-0.0399,0.98
0.342259,0.9881,0.0312,-0.0335,0.99
0.358119,0.9911,0.0312,-0.0370,0.99
0.391122,0.9559,-0.0035,-0.0184,0.96
0.401368,0.9652,0.0116,-0.0404,0.97
0.425171,0.9842,0.0062,0.0119,0.98
0.442145,0.9627,-0.0148,-0.0419,0.96
0.466851,0.9304,-0.0089,-0.1142,0.94
0.488606,1.0018,-0.0329,-0.0541,1.00
0.500434,0.9994,-0.0153,-0.0516,1.00
0.526418,1.0444,0.0092,-0.0467,1.05
0.541883,1.0615,0.0077,-0.0619,1.06
0.567652,1.0140,-0.0016,-0.0609,1.02
0.589187,0.9715,-0.0158,-0.0492,0.97
0.609156,0.9485,-0.0246,-0.0453,0.95
0.625243,0.9436,-0.0226,-0.0463,0.95
0.642256,0.9466,-0.0153,-0.0551,0.95
0.667662,0.9666,-0.0123,-0.0551,0.97
0.688809,0.9872,-0.0202,-0.0531,0.99
0.707878,0.9974,-0.0192,-0.0560,1.00
0.724143,1.0096,-0.0255,-0.0580,1.01
0.749927,1.0189,-0.0172,-0.0560,1.02
0.768599,1.0189,0.0126,-0.0624,1.02
0.789161,0.9994,0.0336,-0.0707,1.00
0.808055,0.9730,0.0561,-0.0868,0.98
0.826739,0.9300,0.0893,-0.1025,0.94
0.851438,0.8962,0.1157,-0.1162,0.91
0.866132,0.9031,0.1270,-0.1215,0.92
0.888942,0.9554,0.1461,-0.1284,0.97
0.908458,1.0004,0.1465,-0.1401,1.02
0.925476,1.0175,0.1431,-0.1416,1.04
0.949364,1.0189,0.1661,-0.1401,1.04
0.968400,1.0052,0.1984,-0.1313,1.03
0.988978,0.9828,0.2316,-0.1196,1.02
1.008147,0.9696,0.2531,-0.1108,1.01
1.033577,0.9691,0.2653,-0.1010,1.01
1.049249,0.9700,0.2526,-0.0942,1.01
1.067220,0.9749,0.2345,-0.0844,1.01
1.097424,0.9881,0.1817,-0.0844,1.01
1.107321,0.9979,0.1739,-0.0790,1.02
1.131402,1.0096,0.1529,-0.0560,1.02
1.149294,1.0048,0.1421,-0.0521,1.02
1.174054,0.9901,0.1456,-0.0453,1.00
1.195487,0.9710,0.1578,-0.0560,0.99
1.215068,0.9432,0.1607,-0.0482,0.96
1.231562,0.9221,0.1690,-0.0316,0.94
1.250760,0.9075,0.1710,-0.0213,0.92
1.276305,0.9050,0.1744,-0.0125,0.92
1.296025,0.9114,0.1744,-0.0027,0.93
1.316314,0.9280,0.1676,0.0085,0.94
1.331682,0.9441,0.1622,0.0051,0.96
1.357184,0.9564,0.1549,0.0012,0.97
1.376179,0.9617,0.1700,0.0046,0.98
1.394868,0.9666,0.1832,0.0080,0.98
1.416020,0.9813,0.1940,0.0119,1.00
1.432902,0.9872,0.1886,0.0173,1.01
1.457301,0.9920,0.1637,0.0290,1.01
1.474094,0.9886,0.1500,0.0305,1.00
1.496338,1.0008,0.1333,0.0540,1.01
1.514927,1.0165,0.1412,0.0843,1.03
1.533214,1.0297,0.1578,0.1131,1.05
1.556967,1.0380,0.1881,0.1273,1.06
1.574904,1.0321,0.2072,0.1014,1.06
1.595086,1.0370,0.2008,0.0036,1.06
1.614912,1.0791,0.2262,-0.0736,1.10
1.640190,1.1392,0.1935,-0.2056,1.17
1.658716,1.1979,0.1333,-0.2633,1.23
1.674149,1.1720,0.1143,-0.3015,1.22
1.694818,0.9886,0.1358,-0.3005,1.04
1.715491,0.8019,0.0918,-0.2799,0.85
1.741201,0.6635,-0.0959,-0.2223,0.71
1.757189,0.6855,-0.2186,-0.1924,0.74
1.782843,0.8644,-0.2851,-0.2198,0.94
1.802430,0.9955,-0.1673,-0.2736,1.05
1.823362,1.0238,0.0302,-0.2726,1.06
1.840074,1.0830,0.1505,-0.2433,1.12
1.856790,1.1216,0.2370,-0.1890,1.16
1.882411,1.0908,0.1954,-0.1577,1.12
1.906073,0.9906,0.0346,-0.1411,1.00
1.923149,0.9304,-0.0578,-0.1303,0.94
1.940199,0.8938,-0.1365,-0.1118,0.91
1.965001,0.8728,-0.1742,-0.0873,0.89
1.982268,0.8830,-0.1659,-0.0844,0.90
2.004859,0.9016,-0.1194,-0.0912,0.91
2.023024,0.8957,-0.0617,-0.0839,0.90
2.040874,0.9344,-0.0549,-0.0634,0.94
2.065912,0.9666,-0.0598,-0.0585,0.97
2.081264,0.9647,-0.0451,-0.0643,0.97
2.104541,0.9163,-0.0182,-0.0282,0.92
2.123600,0.9065,-0.0104,0.0114,0.91
2.141141,0.9246,-0.0158,0.0324,0.93
2.165789,0.9964,-0.0412,0.0148,1.00
2.181400,1.0468,-0.0471,0.0021,1.05
2.203825,1.0649,-0.0226,-0.0326,1.07
2.222900,1.0815,-0.0172,0.0227,1.08
2.249854,1.1666,0.0307,0.2031,1.18
2.264811,1.1685,0.0595,0.2036,1.19
2.296157,1.1118,-0.1052,-0.0252,1.12
2.303858,1.1167,-0.1815,-0.0888,1.13
2.323151,1.2404,-0.3125,-0.2775,1.31
2.348608,1.2340,-0.2172,-0.4506,1.33
2.365115,1.1436,-0.0867,-0.5444,1.27
2.396596,0.7417,0.1681,-0.5273,0.93
2.404990,0.6811,0.2604,-0.4774,0.87
2.430871,0.7349,0.4770,-0.2658,0.92
2.448515,0.8557,0.3460,-0.1670,0.94
2.472670,1.0140,0.0991,-0.1533,1.03
2.494635,1.0576,-0.0471,-0.2037,1.08
2.506070,1.0492,-0.0964,-0.2188,1.08
2.529933,0.9544,-0.0881,-0.2203,0.98
2.547936,0.8864,-0.0045,-0.1724,0.90
2.572036,0.8444,0.0761,-0.1328,0.86
2.591458,0.8219,0.1441,-0.1137,0.84
2.612296,0.8146,0.1998,-0.0932,0.84
2.630726,0.8302,0.2130,-0.0854,0.86
2.648221,0.8327,0.2023,-0.0829,0.86
2.672904,0.8557,0.1641,-0.0731,0.87
2.695996,0.8860,0.1133,-0.0541,0.89
2.712853,0.8982,0.0981,-0.0355,0.90
2.730093,0.8904,0.0918,-0.0199,0.90
2.748588,0.8845,0.1089,-0.0023,0.89
2.771091,0.8659,0.1470,0.0398,0.88
2.790068,0.8791,0.1485,0.0456,0.89
2.810403,0.9207,0.1285,0.0217,0.93
2.830182,0.9686,0.0610,-0.0668,0.97
2.855919,1.0849,0.0752,-0.1548,1.10
2.872751,1.2081,0.1343,0.0339,1.22
2.903855,1.4198,0.1133,0.1107,1.43
2.911877,1.4091,0.1187,0.0114,1.41
2.930158,1.2771,0.1461,-0.2472,1.31
2.955924,1.1280,0.2248,-0.1049,1.15
2.972564,1.2140,0.2013,-0.1553,1.24
3.002017,1.3010,0.1441,-0.5068,1.40
