time,gFx,gFy,gFz,TgF
0.010778,0.9813,0.0038,-0.1220,0.99
0.025699,0.9876,-0.0050,-0.1377,1.00
0.045961,0.9828,0.0038,-0.1323,0.99
0.063769,0.9720,0.0023,-0.1284,0.98
0.088599,0.9676,-0.0026,-0.1181,0.97
0.106144,0.9676,-0.0075,-0.1176,0.97
0.128483,0.9710,-0.0040,-0.1215,0.98
0.145405,0.9769,-0.0055,-0.1269,0.99
0.169771,0.9813,-0.0035,-0.1303,0.99
0.188683,0.9818,-0.0031,-0.1269,0.99
0.204879,0.9798,-0.0011,-0.1284,0.99
0.228728,0.9710,-0.0035,-0.1255,0.98
0.247355,0.9622,-0.0065,-0.1181,0.97
0.270721,0.9676,-0.0065,-0.1191,0.97
0.288174,0.9735,-0.0075,-0.1186,0.98
0.312739,0.9774,-0.0065,-0.1289,0.99
0.337805,0.9705,-0.0075,-0.1333,0.98
0.348724,0.9696,-0.0079,-0.1284,0.98
0.367938,0.9647,-0.0119,-0.1201,0.97
0.388038,0.9686,-0.0060,-0.0883,0.97
0.412802,0.9378,0.0028,-0.0854,0.94
0.428702,0.9573,-0.0123,-0.0927,0.96
0.454722,0.9793,-0.0167,-0.1176,0.99
0.472088,0.9876,-0.0241,-0.1235,1.00
0.487998,0.9969,-0.0334,-0.1279,1.01
0.514247,0.9969,-0.0299,-0.1548,1.01
0.537376,0.9769,-0.0167,-0.1426,0.99
0.553813,0.9700,-0.0119,-0.1416,0.98
0.571846,0.9700,-0.0079,-0.1431,0.98
0.589460,0.9710,-0.0065,-0.1538,0.98
0.612793,0.9700,-0.0065,-0.1641,0.98
0.634709,0.9803,-0.0055,-0.1699,0.99
0.654338,0.9842,-0.0094,-0.1778,1.00
0.672274,0.9784,-0.0123,-0.1758,0.99
0.697768,0.9681,-0.0177,-0.1695,0.98
0.712688,0.9603,-0.0158,-0.1670,0.97
0.734815,0.9480,-0.0221,-0.1680,0.96
0.754444,0.9412,-0.0211,-0.1719,0.96
0.772283,0.9388,-0.0153,-0.1787,0.96
0.795953,0.9427,-0.0035,-0.1929,0.96
0.812589,0.9510,-0.0094,-0.1968,0.97
0.834331,0.9539,-0.0216,-0.2032,0.98
0.853468,0.9495,-0.0348,-0.1983,0.97
0.879407,0.9436,-0.0588,-0.1807,0.96
0.895619,0.9456,-0.0774,-0.1704,0.96
0.913709,0.9544,-0.0969,-0.1646,0.97
0.943712,0.9813,-0.0964,-0.1494,1.00
0.953731,0.9857,-0.0950,-0.1543,1.00
0.979788,0.9852,-0.0651,-0.1768,1.00
0.996744,0.9779,-0.0417,-0.1919,1.00
1.021391,0.9642,-0.0422,-0.2017,0.99
1.043798,0.9710,-0.0578,-0.2247,1.00
1.063123,0.9715,-0.0436,-0.2179,1.00
1.078767,0.9779,-0.0285,-0.2218,1.00
1.097902,0.9857,-0.0070,-0.2306,1.01
1.121580,0.9857,0.0116,-0.2452,1.02
1.144247,0.9744,0.0351,-0.2384,1.00
1.161208,0.9564,0.0468,-0.2330,0.99
1.179480,0.9402,0.0561,-0.2174,0.97
1.196716,0.9187,0.0683,-0.2003,0.94
1.220448,0.8864,0.0981,-0.1719,0.91
1.245738,0.8772,0.1236,-0.1450,0.90
1.262002,0.9045,0.1216,-0.1396,0.92
1.279979,0.9735,0.0898,-0.1435,0.99
1.303967,1.0810,0.0224,-0.1611,1.09
1.321876,1.1328,-0.0211,-0.1846,1.15
1.345993,1.1372,-0.0378,-0.1915,1.15
1.363758,1.0844,-0.0114,-0.1802,1.10
1.378565,1.0258,0.0287,-0.1655,1.04
1.402882,0.9285,0.0918,-0.1079,0.94
1.420448,0.8791,0.1216,-0.0785,0.89
1.444335,0.8635,0.1465,-0.0560,0.88
1.461755,0.8869,0.1456,-0.0731,0.90
1.486462,0.9407,0.1118,-0.1039,0.95
1.503386,0.9691,0.0854,-0.1274,0.98
1.533704,1.0013,0.0458,-0.1338,1.01
1.545067,1.0067,0.0209,-0.1294,1.02
1.560154,1.0072,0.0087,-0.1289,1.02
1.586527,0.9549,0.0439,-0.0981,0.96
1.605571,0.9197,0.1206,-0.0907,0.93
1.633071,0.8708,0.1568,-0.1264,0.89
1.642556,0.8620,0.1490,-0.1220,0.88
1.663175,0.8439,0.1099,-0.1113,0.86
1.687411,0.8473,0.0820,-0.1127,0.86
1.704049,0.8434,0.0928,-0.1367,0.86
1.725150,0.8385,0.0981,-0.1377,0.86
1.743481,0.8190,0.0879,-0.1494,0.84
1.771468,0.8014,0.0752,-0.1391,0.82
1.788055,0.7642,0.0649,-0.1455,0.78
1.811792,0.6875,0.0439,-0.1387,0.70
1.832988,0.6195,0.0307,-0.0878,0.63
1.844868,0.5917,0.0361,-0.0487,0.59
1.871251,0.5799,0.1241,0.0364,0.59
1.887525,0.6303,0.1881,0.0280,0.66
1.911164,0.7628,0.2072,0.0109,0.79
1.929257,0.8630,0.1808,0.0334,0.88
1.950563,0.9612,0.1109,0.0276,0.97
1.969511,0.8982,0.0546,-0.2350,0.93
1.987088,1.1368,0.0527,-0.2506,1.17
2.012913,1.3910,0.0238,-0.4281,1.46
2.033459,1.5499,-0.0735,-0.4999,1.63
2.050999,1.6295,-0.1047,-0.4276,1.69
2.069818,1.6369,-0.3037,-0.4887,1.74
2.094196,1.8270,-0.2309,-0.4530,1.90
2.110148,1.5557,-0.0275,-0.3474,1.59
2.139777,1.1627,0.0493,-0.2340,1.19
2.151082,1.0600,0.0400,-0.1988,1.08
2.169275,0.9402,-0.0079,-0.1504,0.95
2.193538,0.7960,-0.0573,-0.0903,0.80
2.211090,0.7163,-0.0695,-0.1196,0.73
2.240014,0.6938,-0.1522,-0.1915,0.74
2.251772,0.7065,-0.1727,-0.1954,0.75
2.278256,0.7633,-0.1629,-0.2311,0.81
2.293986,0.8224,-0.1409,-0.2501,0.87
2.310163,0.8908,-0.1160,-0.2296,0.93
2.341130,0.9554,-0.0329,-0.2648,0.99
2.352416,0.9476,-0.0221,-0.2482,0.98
2.377454,0.9026,-0.0383,-0.1533,0.92
2.394037,0.8493,-0.0495,-0.1308,0.86
2.419539,0.7437,-0.0524,-0.1015,0.75
2.440136,0.6572,-0.0319,-0.0526,0.66
2.452171,0.6181,-0.0114,-0.0111,0.62
2.477344,0.5804,-0.0172,0.0031,0.58
2.493979,0.5956,-0.0407,-0.0130,0.60
2.519530,0.7051,-0.0539,-0.0247,0.71
2.539746,0.8322,-0.0813,-0.0384,0.84
2.558819,0.9451,-0.1018,-0.0766,0.95
2.578193,1.0033,-0.1101,-0.0903,1.01
2.593333,1.0170,-0.1140,-0.0560,1.02
2.617958,0.9021,-0.0505,0.0192,0.90
2.642907,0.9065,0.0409,-0.1895,0.93
2.655621,1.0615,-0.0182,-0.1377,1.07
2.675489,1.1778,-0.0607,-0.2565,1.21
2.701853,1.3651,-0.0397,-0.3288,1.40
2.718460,1.4672,0.0502,-0.5244,1.56
2.740949,1.7943,0.3944,-0.7556,1.99
2.758410,1.8759,0.2013,-0.7673,2.04
2.775433,1.5733,0.0757,-0.6314,1.70
2.802082,1.1896,0.0009,-0.2550,1.22
2.818211,1.0062,-0.0441,-0.1387,1.02
2.841129,0.7936,0.0361,-0.0595,0.80
2.859553,0.7295,0.0947,-0.0771,0.74
2.884909,0.7750,0.1074,-0.1157,0.79
2.902936,0.8024,0.0854,-0.1895,0.83
2.917912,0.8024,0.0879,-0.2579,0.85
2.939706,0.7833,0.1055,-0.2839,0.84
2.958884,0.8117,0.1162,-0.2702,0.86
2.984987,0.8679,0.1671,-0.2413,0.92
3.002793,0.8723,0.1881,-0.2257,0.92
3.025479,0.8429,0.2018,-0.1709,0.88
3.041718,0.8112,0.1905,-0.1548,0.85
3.058896,0.8077,0.1480,-0.1362,0.83
3.085577,0.8938,0.0737,-0.1176,0.90
3.100636,0.9378,0.0502,-0.1435,0.95
3.126272,0.8938,0.0331,-0.1822,0.91
3.147352,0.7882,0.0233,-0.1582,0.80
3.166979,0.6948,0.0419,-0.0746,0.70
3.184726,0.6220,0.0722,-0.0169,0.63
3.200856,0.5667,0.1006,-0.0091,0.58
3.225311,0.5012,0.0693,-0.0433,0.51
3.250190,0.5305,-0.0123,-0.0355,0.53
3.266714,0.6288,0.0116,-0.0389,0.63
3.283600,0.7237,0.0634,-0.0741,0.73
3.308540,0.8552,0.1744,-0.1455,0.88
3.325293,0.8156,0.1612,-0.4036,0.92
3.351081,1.4897,0.1221,-0.2707,1.52
3.366315,1.6408,0.1842,-0.6564,1.78
3.384767,1.5997,0.0918,-0.7986,1.79
3.407779,1.4218,0.0273,-0.3723,1.47
3.425583,1.4853,-0.3516,-0.3582,1.57
3.448215,1.9761,-0.4826,-0.3132,2.06
3.466765,1.5806,-0.3448,-0.3997,1.67
3.493155,1.2213,-0.1854,-0.2291,1.26
3.509420,1.0649,-0.1258,-0.1988,1.09
3.524604,0.9876,-0.0749,-0.2042,1.01
3.553307,0.7911,-0.0466,-0.1851,0.81
3.566770,0.6924,-0.0798,-0.1665,0.72
3.593296,0.5877,-0.1209,-0.1885,0.63
3.609086,0.6396,-0.1404,-0.2169,0.69
3.633057,0.7799,-0.1688,-0.2633,0.84
3.647913,0.8351,-0.1507,-0.2692,0.89
3.676112,0.8869,-0.1057,-0.2325,0.92
3.692251,0.9060,-0.1082,-0.2296,0.94
3.708652,0.9099,-0.1155,-0.2252,0.94
3.734704,0.8904,-0.1497,-0.1778,0.92
3.759251,0.9094,-0.1629,-0.1391,0.93
3.775259,0.9290,-0.1458,-0.1401,0.95
3.791144,0.9495,-0.1145,-0.1626,0.97
3.809453,0.9368,-0.0593,-0.1841,0.96
3.833543,0.9045,-0.0060,-0.2051,0.93
3.860263,0.8307,-0.0148,-0.1929,0.85
3.874186,0.7892,-0.0490,-0.1602,0.81
3.892600,0.7276,-0.0906,-0.1191,0.74
3.909096,0.6464,-0.1179,-0.1127,0.67
3.933062,0.5301,-0.1091,-0.0834,0.55
3.958167,0.4963,-0.1072,-0.0487,0.51
3.975914,0.6049,-0.0881,-0.0624,0.61
4.000423,0.8444,-0.0299,-0.1807,0.86
4.016189,0.9451,-0.0070,-0.2785,0.99
4.033302,0.9867,0.0141,-0.3127,1.04
4.058673,1.0346,0.0238,-0.2061,1.06
4.072925,1.0522,0.0062,-0.1778,1.07
4.099872,0.9182,-0.0099,-0.1421,0.93
4.116996,0.9246,-0.0607,-0.1783,0.94
4.146307,1.3010,-0.1986,-0.1968,1.33
4.155109,1.4061,-0.1615,-0.2394,1.44
4.173384,1.6090,-0.1282,-0.2443,1.63
4.198793,1.4790,0.2164,-0.4848,1.57
4.215867,1.6848,0.3646,-0.5068,1.80
4.246124,1.5083,0.0053,-0.4295,1.57
4.256652,1.3303,-0.0070,-0.3332,1.37
4.282751,1.0287,-0.0187,-0.1558,1.04
4.298971,0.8635,0.0082,-0.1264,0.87
4.316707,0.7241,0.1001,-0.1181,0.74
4.345908,0.6694,0.1920,-0.1206,0.71
4.357135,0.7114,0.1803,-0.1264,0.74
4.381931,0.7735,0.0761,-0.2227,0.81
4.398786,0.8063,0.0400,-0.2672,0.85
4.417029,0.8605,0.0434,-0.2927,0.91
4.446532,0.9710,0.1211,-0.2687,1.01
4.464425,0.9803,0.1690,-0.2535,1.03
4.481901,0.9656,0.1778,-0.2208,1.01
4.498708,0.9373,0.1720,-0.1949,0.97
4.524536,0.9138,0.1544,-0.1841,0.94
4.546825,0.9329,0.1109,-0.1636,0.95
4.566170,0.9485,0.0825,-0.1685,0.97
4.582197,0.9564,0.0757,-0.1724,0.97
4.598752,0.9456,0.0859,-0.1660,0.96
4.624595,0.9119,0.0898,-0.1377,0.93
4.642270,0.8732,0.0683,-0.1401,0.89
4.664048,0.8112,0.0581,-0.1377,0.82
4.682100,0.7755,0.0600,-0.1367,0.79
4.706750,0.7388,0.0683,-0.1240,0.75
4.725474,0.6894,0.0649,-0.1460,0.71
4.746017,0.6308,0.0439,-0.1685,0.65
4.763954,0.5965,0.0292,-0.2115,0.63
4.781794,0.5995,0.0209,-0.2540,0.65
4.806859,0.6801,0.0967,-0.2330,0.73
