time,gFx,gFy,gFz,TgF
0.003753,0.9798,0.0537,-0.1318,0.99
0.013532,0.9916,0.0473,-0.1303,1.00
0.037729,0.9710,0.0390,-0.1279,0.98
0.054244,0.9524,0.0229,-0.1352,0.96
0.079702,0.9539,0.0145,-0.1289,0.96
0.095020,0.9920,0.0527,-0.1396,1.00
0.112529,0.9886,0.0644,-0.1347,1.00
0.137640,0.9681,0.0429,-0.1333,0.98
0.161340,0.9622,0.0268,-0.1274,0.97
0.179497,0.9847,0.0229,-0.1382,0.99
0.207349,0.9539,0.0258,-0.1382,0.96
0.221136,0.9627,0.0273,-0.1279,0.97
0.236974,0.9788,0.0233,-0.1269,0.99
0.255280,0.9779,0.0229,-0.1377,0.99
0.280072,0.9735,0.0116,-0.1401,0.98
0.306173,0.9920,0.0307,-0.1421,1.00
0.321098,0.9916,0.0581,-0.1636,1.01
0.337446,0.9749,0.0722,-0.1675,0.99
0.362869,0.9568,0.0625,-0.1259,0.97
0.380671,0.9632,0.0136,-0.1025,0.97
0.406793,0.9388,-0.0299,-0.1083,0.95
0.419317,0.9363,-0.0211,-0.1113,0.94
0.436969,0.9407,0.0297,-0.1201,0.95
0.463235,0.9309,0.1353,-0.1264,0.95
0.479685,0.9060,0.1891,-0.1250,0.93
0.501473,0.8918,0.2199,-0.1035,0.92
0.521538,0.9466,0.2086,-0.0927,0.97
0.537735,1.0023,0.1803,-0.0868,1.02
0.563494,1.0722,0.1206,-0.0746,1.08
0.579699,1.0796,0.0859,-0.0829,1.09
0.600889,1.0556,0.0546,-0.0639,1.06
0.621626,1.0214,0.0595,-0.0551,1.02
0.646776,0.9632,0.0972,-0.0375,0.97
0.664588,0.9524,0.1231,-0.0497,0.96
0.680604,0.9661,0.1490,-0.0810,0.98
0.703645,0.9769,0.1529,-0.0917,0.99
0.720202,0.9691,0.1382,-0.0746,0.98
0.747081,0.9559,0.0981,-0.0477,0.96
0.763133,0.9520,0.0879,-0.0350,0.96
0.793726,0.9788,0.1118,-0.0507,0.99
0.803820,0.9862,0.1197,-0.0575,1.00
0.822573,0.9862,0.1358,-0.0912,1.00
0.847037,0.9686,0.1314,-0.0903,0.98
0.863342,0.9471,0.1045,-0.0790,0.96
0.890810,0.8952,0.0365,-0.0971,0.90
0.912786,0.8532,-0.0065,-0.1401,0.86
0.929614,0.8674,-0.0309,-0.1895,0.89
0.945274,0.9461,-0.0348,-0.2237,0.97
0.964353,1.0805,0.0561,-0.3288,1.13
0.988896,1.1636,0.1861,-0.3088,1.22
1.010772,1.0224,0.1881,-0.1665,1.05
1.028463,0.9515,0.1412,-0.0873,0.97
1.045517,0.9622,0.1793,-0.0658,0.98
1.070708,1.0761,0.2604,-0.0873,1.11
1.086667,1.1504,0.2859,-0.1655,1.20
1.110792,1.1236,0.1558,-0.1827,1.15
1.128923,1.0253,0.0018,-0.1113,1.03
1.146637,0.9285,-0.1253,-0.0482,0.94
1.171113,0.7540,-0.1771,0.0354,0.78
1.188570,0.6552,-0.1443,0.0290,0.67
1.212080,0.6200,-0.0529,-0.0741,0.63
1.228667,0.6474,0.0351,-0.1142,0.66
1.253577,0.7432,0.1519,-0.0917,0.76
1.270820,0.7877,0.1852,-0.0771,0.81
1.288309,0.7853,0.1573,-0.0727,0.80
1.311264,0.7417,0.0859,-0.0585,0.75
1.327654,0.6938,0.0527,-0.0135,0.70
1.353788,0.6772,0.0317,0.0574,0.68
1.371173,0.6924,0.0370,0.0559,0.70
1.395312,0.8073,0.0419,0.0163,0.81
1.410804,0.9358,0.0370,-0.0384,0.94
1.429434,1.0150,0.0605,-0.0819,1.02
1.453343,1.1148,0.0581,-0.1587,1.13
1.472100,1.2961,-0.0001,-0.3596,1.35
1.499722,1.2976,0.1441,-0.4246,1.37
1.511134,1.2419,0.2634,-0.3142,1.31
1.536211,1.1734,0.4184,-0.1435,1.25
1.552838,1.2780,0.4360,-0.1846,1.36
1.578776,1.6173,0.0453,-0.2208,1.63
1.599504,1.7689,-0.3379,-0.1215,1.80
1.618899,1.4477,-0.3981,-0.2355,1.52
1.637480,1.0502,-0.1786,-0.1602,1.08
1.652450,0.7608,0.1197,-0.0546,0.77
1.678418,0.5589,0.4775,-0.0326,0.74
1.700089,0.6122,0.4017,-0.0071,0.73
1.720000,0.7545,0.1201,-0.0599,0.77
1.738766,0.7975,-0.0559,-0.1411,0.81
1.753102,0.7633,-0.1277,-0.1455,0.79
1.779132,0.6870,-0.0466,-0.0458,0.69
1.798933,0.7848,0.0776,-0.0306,0.79
1.818643,0.8571,0.1226,-0.0155,0.87
1.837081,0.7838,0.0889,-0.0335,0.79
1.861144,0.6757,0.0845,-0.0277,0.68
1.879003,0.7144,0.1495,-0.0096,0.73
1.900101,0.8644,0.2311,-0.0355,0.90
1.918959,0.9598,0.1891,0.0021,0.98
1.936407,1.0287,0.0761,0.0095,1.03
1.962724,1.0082,0.0224,-0.0599,1.01
1.979978,0.9744,0.0541,0.0026,0.98
2.000456,0.9906,0.1368,0.0065,1.00
2.018369,1.0096,0.1289,-0.0639,1.02
2.038302,1.0101,0.0375,-0.1347,1.02
2.061212,1.0835,-0.0461,-0.2633,1.12
2.078328,1.1808,-0.1052,-0.3787,1.24
2.098851,1.2350,-0.1282,-0.3826,1.30
2.119058,1.2551,-0.0915,-0.2526,1.28
2.145000,1.4599,-0.0035,-0.0697,1.46
2.160938,1.5870,0.0253,-0.0859,1.59
2.178770,1.5264,0.0747,-0.0115,1.53
2.210824,1.0893,0.1299,-0.0008,1.10
2.218462,1.0057,0.1104,-0.0262,1.01
2.244289,0.8151,0.0243,-0.0560,0.82
2.260454,0.7887,-0.0065,-0.0810,0.79
2.285820,0.7569,0.0400,-0.1269,0.77
2.308452,0.7134,0.1294,-0.0306,0.73
2.328071,0.6733,0.1490,0.0129,0.69
2.344815,0.6210,0.1079,-0.0282,0.63
2.362730,0.6200,0.0483,-0.0551,0.62
2.386183,0.7574,0.0307,-0.0052,0.76
2.411054,0.8625,0.0444,-0.0702,0.87
2.426842,0.8542,0.0546,-0.0595,0.86
2.445727,0.7677,0.0390,-0.0316,0.77
2.461696,0.6723,0.0297,-0.0482,0.67
2.486433,0.6792,-0.0089,0.0065,0.68
2.510420,0.8752,-0.0373,0.0862,0.88
2.526388,1.0092,-0.0368,0.0505,1.01
2.544855,1.0395,0.0444,-0.1108,1.05
2.568609,1.1837,0.1671,-0.2423,1.22
2.585632,1.4467,0.1715,-0.3841,1.51
2.612267,1.5479,0.1377,-0.3630,1.60
2.627793,1.3841,0.0761,-0.2677,1.41
2.644421,1.1773,0.0331,-0.2247,1.20
2.669483,1.2780,0.1495,-0.3215,1.33
2.690656,1.4198,0.1993,-0.1939,1.45
2.709445,1.4120,0.0429,-0.0511,1.41
2.728020,1.2306,-0.1023,-0.0819,1.24
2.745391,1.0184,-0.1976,-0.1303,1.05
2.769464,0.7955,-0.1175,-0.1308,0.81
2.794682,0.7388,0.0903,-0.1416,0.76
2.816938,0.7466,0.1910,-0.1147,0.78
2.828850,0.7501,0.1896,-0.1010,0.78
2.851587,0.7515,0.1074,-0.0903,0.76
2.869408,0.7129,0.0331,-0.0727,0.72
2.894673,0.7378,-0.0089,-0.0184,0.74
2.916837,0.8693,-0.0001,-0.0179,0.87
2.935297,0.8752,0.0077,-0.0590,0.88
2.951996,0.7652,-0.0119,-0.0619,0.77
2.968566,0.6562,-0.0236,-0.0326,0.66
2.993712,0.5809,0.0737,0.0383,0.59
3.015247,0.6757,0.1685,-0.0057,0.70
3.035852,0.8283,0.2096,0.0124,0.85
3.051792,0.9520,0.1812,-0.0384,0.97
3.075428,1.0067,0.0942,-0.0834,1.01
3.093503,0.9314,0.0532,-0.0907,0.94
3.116161,0.8405,0.0170,-0.0800,0.84
3.134313,0.9520,-0.0270,-0.1396,0.96
3.152379,1.0923,0.0106,-0.3019,1.13
3.177542,1.1940,0.0385,-0.6148,1.34
3.192332,1.0483,0.1197,-0.5464,1.19
3.219714,1.3074,0.1519,-0.3059,1.35
3.233448,1.5606,0.0874,-0.2472,1.58
3.259539,1.8407,-0.1639,-0.3078,1.87
3.276251,1.7591,-0.2871,-0.3347,1.81
3.295793,1.6618,-0.1966,-0.4036,1.72
3.318015,1.1343,0.0136,-0.2843,1.17
3.333550,0.8537,0.0713,-0.1626,0.87
3.360416,0.6704,0.0649,-0.1137,0.68
3.376573,0.6068,0.0312,-0.1132,0.62
3.405758,0.5457,0.0038,-0.1553,0.57
3.418588,0.5706,-0.0040,-0.1724,0.60
3.442175,0.6547,0.0131,-0.2242,0.69
3.461139,0.6440,0.0385,-0.2276,0.68
3.476425,0.6220,0.0620,-0.1631,0.65
3.505564,0.6621,0.0708,-0.0423,0.67
3.517237,0.7515,0.0243,-0.0551,0.75
3.542014,0.9094,-0.0436,-0.1494,0.92
3.559472,0.9412,-0.0079,-0.1523,0.95
3.575753,0.9280,0.0820,-0.0805,0.94
3.605380,0.9388,0.0786,-0.0467,0.94
3.618042,0.9363,0.0600,-0.0878,0.94
3.641671,0.9578,0.0194,-0.0878,0.96
3.659774,0.9637,-0.0001,-0.0692,0.97
3.684362,0.9187,0.0204,-0.1641,0.93
3.704590,1.0145,0.0243,-0.3753,1.08
3.725643,1.2145,0.0028,-0.5943,1.35
3.741458,1.3220,0.0023,-0.6339,1.47
3.759001,1.3484,0.0571,-0.5185,1.45
3.783879,1.1998,0.1759,-0.3156,1.25
3.805142,1.2419,0.3607,-0.3274,1.33
3.825928,1.4491,0.2771,-0.2218,1.49
3.843305,1.4384,-0.0167,-0.2012,1.45
3.867367,1.2355,-0.2035,-0.2384,1.27
3.884166,1.0576,-0.1341,-0.2428,1.09
3.906030,0.8483,0.0312,-0.1426,0.86
3.924107,0.7129,0.1519,-0.1064,0.74
3.941686,0.6293,0.2052,-0.0746,0.67
3.968230,0.6029,0.1803,-0.1264,0.64
3.984129,0.6376,0.1099,-0.1636,0.67
4.004099,0.6757,0.0248,-0.1871,0.70
4.025496,0.6977,-0.0295,-0.1553,0.72
4.042017,0.7457,-0.0392,-0.0873,0.75
4.067000,0.7285,0.0229,-0.0384,0.73
4.083539,0.6904,0.0713,-0.0819,0.70
4.104722,0.6767,0.1050,-0.1333,0.70
4.123866,0.6870,0.1094,-0.1558,0.71
4.149597,0.7696,0.0512,-0.0634,0.77
4.166231,0.8786,0.0453,-0.0746,0.88
4.183491,1.0155,0.1197,-0.1347,1.03
4.205130,1.0473,0.1812,-0.1372,1.07
4.223754,1.0404,0.1671,-0.1504,1.06
4.249502,1.1798,0.0522,-0.1714,1.19
4.270189,1.2536,0.0263,-0.3474,1.30
4.300626,1.2766,0.0175,-0.5244,1.38
4.315061,1.2673,0.0087,-0.5434,1.38
4.332141,1.2072,0.0082,-0.4202,1.28
4.358255,1.0292,-0.0490,-0.1954,1.05
4.374935,1.0820,-0.0852,-0.1973,1.10
4.399158,1.3088,0.0356,-0.3596,1.36
4.420016,1.3137,0.2101,-0.4378,1.40
4.439427,1.2986,0.2805,-0.3381,1.37
4.457262,1.1187,0.1886,-0.2931,1.17
4.483076,0.8429,-0.0446,-0.1968,0.87
4.498899,0.7413,-0.1067,-0.1494,0.76
4.525984,0.6293,-0.0930,-0.0893,0.64
4.540549,0.6464,-0.0451,-0.1049,0.66
4.558333,0.7290,-0.0114,-0.1504,0.74
4.583652,0.7545,0.0263,-0.2003,0.78
4.599961,0.6938,0.0615,-0.2223,0.73
4.623521,0.6308,0.1006,-0.1401,0.65
4.648698,0.7901,0.0805,-0.0839,0.80
4.665827,0.8576,-0.0045,-0.0961,0.86
4.690862,0.7422,-0.0236,-0.1880,0.77
4.711548,0.6537,0.0903,-0.1631,0.68
4.723705,0.6669,0.1079,-0.1377,0.69
4.748206,0.7589,0.0365,-0.1098,0.77
4.766914,0.8307,-0.0539,-0.1797,0.85
4.791171,1.0023,-0.0578,-0.2863,1.04
4.812893,1.3215,0.0028,-0.5522,1.43
4.831566,1.7581,0.0805,-0.6055,1.86
4.849367,1.8163,0.1876,-0.6828,1.95
4.866639,1.2854,0.1060,-0.4378,1.36
4.891192,0.8195,0.0654,-0.3909,0.91
4.912328,1.1270,0.0590,-0.4041,1.20
4.931747,1.3729,0.1241,-0.3034,1.41
4.948422,1.4252,0.1607,-0.3508,1.48
4.974895,1.2272,0.1118,-0.3420,1.28
4.991527,1.0732,0.1060,-0.3137,1.12
5.011917,0.8449,0.0933,-0.2340,0.88
5.030938,0.7051,0.0297,-0.1499,0.72
5.048946,0.6234,-0.0143,-0.1201,0.64
5.073476,0.6264,-0.0446,-0.1841,0.65
5.091523,0.6880,-0.0114,-0.2051,0.72
5.111647,0.7530,0.1123,-0.1626,0.78
5.131696,0.7794,0.1832,-0.1695,0.82
5.148178,0.7491,0.1681,-0.1548,0.78
5.174918,0.6792,0.0097,-0.1230,0.69
5.191817,0.7325,-0.0104,-0.0810,0.74
5.213124,0.7413,0.0453,-0.1000,0.75
5.232963,0.7232,0.1446,-0.1113,0.75
5.256867,0.6880,0.1842,-0.1284,0.72
5.273717,0.7447,0.0879,-0.1025,0.76
5.291449,0.9549,-0.0441,-0.1093,0.96
5.311447,1.0263,-0.0334,-0.1841,1.04
5.330655,0.9705,0.0595,-0.1475,0.98
5.357028,0.9368,0.1485,-0.1421,0.96
5.373144,0.9930,0.1534,-0.2193,1.03
5.399192,1.2013,0.0453,-0.4662,1.29
5.426638,1.3235,-0.0603,-0.5738,1.44
5.440658,1.3357,-0.0725,-0.5879,1.46
5.456848,1.3108,-0.0084,-0.5258,1.41
5.473129,1.2360,0.0683,-0.3728,1.29
5.498839,1.2106,0.0214,-0.2252,1.23
5.526705,1.4042,-0.0955,-0.3552,1.45
5.540276,1.3641,-0.0407,-0.3826,1.42
5.556571,1.2316,0.0791,-0.3518,1.28
5.573080,1.0331,0.1446,-0.3054,1.09
5.598149,0.7965,0.0933,-0.2770,0.85
5.624993,0.7251,0.0243,-0.2130,0.76
5.639104,0.6933,0.0131,-0.1743,0.72
5.656452,0.6557,0.0165,-0.1484,0.67
5.683281,0.6127,0.0356,-0.1499,0.63
5.700026,0.5789,0.0365,-0.1054,0.59
5.722427,0.6273,-0.0314,-0.1079,0.64
5.740202,0.7779,-0.0842,-0.2037,0.81
5.757545,0.8767,-0.0549,-0.2848,0.92
5.781655,0.8772,0.0825,-0.2174,0.91
5.799367,0.8082,0.1465,-0.1108,0.83
5.821398,0.7716,0.0713,-0.0590,0.78
5.840294,0.7901,-0.0197,-0.1308,0.80
5.858292,0.8405,-0.0783,-0.1611,0.86
5.883138,0.8840,-0.0515,-0.1616,0.90
5.900283,0.8987,0.0556,-0.1611,0.91
5.924191,0.9842,0.1710,-0.1670,1.01
5.940332,1.0815,0.1871,-0.2936,1.14
5.965138,1.3607,0.1216,-0.6192,1.50
5.982245,1.4516,0.1421,-0.7111,1.62
6.011519,1.3861,0.2086,-0.3748,1.45
6.020688,1.2262,0.1729,-0.2594,1.27
6.050286,1.1069,0.1803,-0.2858,1.16
6.066418,1.2423,0.1959,-0.3411,1.30
6.082812,1.2819,0.1343,-0.3582,1.34
6.111167,1.2037,-0.1331,-0.3122,1.25
6.126122,1.0888,-0.1908,-0.3362,1.16
6.141822,0.9221,-0.1497,-0.3450,1.00
6.164799,0.6479,0.0321,-0.1949,0.68
6.183187,0.4631,0.1612,-0.1010,0.50
6.206422,0.4646,0.2345,-0.0780,0.53
6.232044,0.7647,0.1456,-0.2535,0.82
6.247024,0.8517,0.0781,-0.3093,0.91
6.264973,0.8625,-0.0050,-0.2770,0.91
6.289283,0.7760,-0.0231,-0.1616,0.79
6.306176,0.7256,0.0082,-0.1211,0.74
6.330263,0.6684,0.0497,-0.0746,0.67
6.348201,0.6704,0.1461,-0.0321,0.69
6.363953,0.6767,0.2213,-0.0712,0.72
6.388472,0.7281,0.1832,-0.1450,0.76
6.406509,0.7569,0.0566,-0.1621,0.78
6.432638,0.8889,-0.0989,-0.1572,0.91
6.448068,0.9710,-0.1038,-0.2061,1.00
6.472196,0.9319,0.0351,-0.1895,0.95
6.488986,0.9510,0.1104,-0.1567,0.97
6.506006,1.0468,0.1690,-0.3019,1.10
6.530946,1.2775,0.1104,-0.5483,1.39
6.548181,1.4369,0.0312,-0.6173,1.56
6.571348,1.5034,-0.0681,-0.6969,1.66
6.588930,1.4413,-0.0593,-0.5293,1.54
6.619041,1.4237,-0.0089,-0.3699,1.47
6.628002,1.4159,0.0356,-0.3186,1.45
6.647511,1.2810,0.1314,-0.2149,1.31
6.671345,1.0414,0.1319,-0.1998,1.07
6.690488,0.9075,0.0321,-0.1993,0.93
6.718782,0.8429,-0.0563,-0.2452,0.88
6.732980,0.8268,-0.0329,-0.2501,0.86
6.755666,0.7706,0.0361,-0.2330,0.81
6.773753,0.7202,0.0629,-0.2022,0.75
6.790303,0.6699,0.0585,-0.1973,0.70
6.820534,0.6748,-0.0021,-0.1372,0.69
6.829751,0.7432,-0.0475,-0.1367,0.76
6.855463,0.8825,-0.0911,-0.1851,0.91
6.872198,0.8449,-0.0529,-0.2267,0.88
6.897830,0.6220,0.0576,-0.1592,0.64
6.920567,0.5315,0.0801,-0.0316,0.54
6.938131,0.6146,0.0248,0.0579,0.62
6.956560,0.7491,-0.0529,0.0119,0.75
6.972064,0.7999,-0.0999,-0.0863,0.81
6.998399,0.7144,-0.0275,-0.1714,0.74
7.019944,0.7779,0.1734,-0.1773,0.82
7.039670,0.9407,0.2952,-0.3733,1.05
7.055581,1.1793,0.3245,-0.6818,1.40
7.073674,1.5054,0.2824,-0.7732,1.72
7.097079,1.6794,0.0835,-0.7869,1.86
7.120122,1.4755,-0.1883,-0.4985,1.57
7.138767,0.9862,-0.1077,-0.2736,1.03
7.155908,1.0522,0.0057,-0.2389,1.08
7.181682,1.4579,0.0053,-0.4481,1.53
7.197665,1.4834,0.0419,-0.4413,1.55
7.220467,1.1754,0.0639,-0.4598,1.26
7.239327,0.9207,0.0742,-0.4369,1.02
7.255554,0.7105,0.0913,-0.3415,0.79
7.280203,0.6308,0.1030,-0.2315,0.68
7.297605,0.7501,0.0845,-0.2770,0.80
7.318897,0.8948,0.0634,-0.3714,0.97
7.336675,0.9319,0.0840,-0.3787,1.01
7.364695,0.7833,0.0962,-0.2340,0.82
7.380130,0.7339,0.0835,-0.1577,0.76
7.396453,0.7593,0.0742,-0.1445,0.78
7.420439,0.8224,0.0209,-0.1851,0.84
7.436604,0.8644,-0.0304,-0.2301,0.90
7.463791,0.9187,-0.0891,-0.1558,0.94
7.480276,0.9383,-0.1047,-0.1181,0.95
7.505115,0.9676,-0.1008,-0.1758,0.99
7.519684,0.9740,-0.0744,-0.1988,1.00
7.537093,0.9725,-0.0519,-0.2262,1.00
7.562587,0.9661,0.0546,-0.2990,1.01
7.579687,1.0228,0.1255,-0.3655,1.09
7.606010,1.2829,0.1069,-0.5982,1.42
7.633021,1.5254,-0.0974,-0.8568,1.75
7.645147,1.5391,-0.1654,-0.6569,1.68
7.662263,1.2409,-0.1502,-0.4862,1.34
7.681375,0.7388,-0.1693,-0.3591,0.84
7.704493,0.4870,-0.1751,-0.3753,0.64
7.726680,0.5208,-0.1184,-0.3391,0.63
7.746315,0.6733,-0.0040,-0.3718,0.77
7.763232,0.8273,0.0947,-0.4110,0.93
7.787707,1.0429,0.1451,-0.4452,1.14
7.803890,1.0815,0.1221,-0.3929,1.16
7.828866,0.8659,0.0502,-0.3459,0.93
7.846654,0.8146,-0.0011,-0.2931,0.87
7.862399,0.7950,-0.0182,-0.2721,0.84
7.888059,0.8268,-0.0334,-0.2491,0.86
7.904054,0.8552,-0.0299,-0.2731,0.90
7.929660,0.9187,-0.0378,-0.3303,0.98
7.945767,0.9256,-0.0197,-0.3181,0.98
7.964058,0.9197,-0.0128,-0.2628,0.96
7.988278,0.8962,-0.0578,-0.2012,0.92
8.003890,0.8879,-0.1101,-0.2135,0.92
8.030762,0.9050,-0.1380,-0.2443,0.95
8.046060,0.9304,-0.1131,-0.2164,0.96
8.063405,0.9436,-0.0803,-0.1949,0.97
8.088130,0.9324,-0.0353,-0.2247,0.96
8.103743,0.9290,-0.0128,-0.2736,0.97
8.128514,1.0326,0.0512,-0.2839,1.07
8.145566,1.0419,-0.0158,-0.2839,1.08
8.170500,1.0184,-0.2939,-0.2047,1.08
8.187485,1.1695,-0.2739,-0.0903,1.20
8.213691,1.1573,0.0253,-0.2819,1.19
8.227400,1.1876,0.0566,-0.4916,1.29
8.245747,1.3308,-0.0622,-0.4950,1.42
8.271843,1.0546,-0.3550,-0.5469,1.24
8.289115,0.9295,-0.3189,-0.5615,1.13
8.312712,0.7339,-0.1536,-0.5097,0.91
8.331413,0.6073,-0.0275,-0.4999,0.79
8.353702,0.6518,-0.0001,-0.4183,0.77
8.369933,0.8200,-0.0671,-0.4168,0.92
8.388899,0.9251,-0.1126,-0.3797,1.01
8.413399,1.0253,-0.1170,-0.4266,1.12
8.436934,0.9544,-0.0128,-0.4105,1.04
8.453753,0.8371,0.0365,-0.4066,0.93
8.470066,0.7848,0.0673,-0.4212,0.89
8.494512,0.8019,0.0708,-0.3640,0.88
8.513214,0.8185,0.0571,-0.3665,0.90
8.539449,0.8478,0.0576,-0.3523,0.92
8.554028,0.8449,0.0625,-0.3342,0.91
8.578993,0.8649,0.0370,-0.2936,0.91
8.595148,0.8542,0.0263,-0.2565,0.89
8.611893,0.8126,0.0400,-0.2340,0.85
8.636848,0.8268,0.0121,-0.2115,0.85
8.652717,0.8811,-0.0158,-0.1939,0.90
8.679360,0.9304,-0.0216,-0.2428,0.96
8.694936,0.9573,-0.0231,-0.2296,0.98
8.712994,0.9950,-0.0089,-0.2770,1.03
8.735505,0.9906,-0.0001,-0.2687,1.03
8.753741,0.9832,-0.0060,-0.2843,1.02
8.773430,0.9612,0.0673,-0.1959,0.98
8.797215,0.9358,0.0854,-0.1440,0.95
8.821475,1.0111,-0.1722,-0.5557,1.17
8.834901,1.1627,-0.2397,-0.8089,1.44
8.860277,1.1876,-0.1077,-0.7522,1.41
8.876932,1.0766,-0.0143,-0.6921,1.28
8.895350,0.9549,-0.0158,-0.5503,1.10
8.920709,0.7618,0.0634,-0.2956,0.82
8.935192,0.7065,0.1241,-0.2301,0.75
8.960882,0.8605,0.1671,-0.2193,0.90
8.976606,1.0253,0.1461,-0.2135,1.06
9.001454,1.0624,0.0659,-0.2697,1.10
9.020316,0.9432,-0.0001,-0.3323,1.00
9.036090,0.8747,-0.0309,-0.3073,0.93
9.062584,0.8371,-0.0539,-0.1655,0.85
9.077441,0.8244,-0.0510,-0.1685,0.84
9.101673,0.8381,-0.0749,-0.2032,0.87
9.120204,0.8385,-0.1096,-0.1841,0.87
9.144097,0.8454,-0.1341,-0.1753,0.87
9.159497,0.8385,-0.1253,-0.1787,0.87
9.187881,0.8293,-0.0622,-0.1548,0.85
9.200875,0.8654,-0.0255,-0.1479,0.88
9.225943,0.8913,-0.0304,-0.1646,0.91
9.243080,0.8776,-0.0485,-0.1734,0.90
9.267291,0.8297,0.0101,-0.1924,0.85
9.285295,0.7261,0.0160,-0.1905,0.75
9.300718,0.6474,0.0121,-0.1866,0.67
9.325665,0.6552,0.0439,-0.1631,0.68
9.342401,0.7408,0.0453,-0.1220,0.75
9.366938,0.7061,-0.0324,-0.1186,0.72
9.383924,0.7716,-0.1263,-0.0741,0.79
9.410208,0.9930,-0.1820,-0.2355,1.04
9.425349,1.0928,-0.0334,-0.2242,1.12
9.450773,1.1402,0.2067,-0.0986,1.16
9.466942,1.0624,0.1710,-0.0956,1.08
9.485308,1.0008,0.0796,-0.0829,1.01
9.508933,0.9964,0.0072,-0.0179,1.00
9.525781,1.0463,-0.0241,0.0148,1.05
9.552818,1.1201,-0.0764,-0.0125,1.12
9.567656,1.1539,-0.0549,-0.0551,1.16
9.592892,1.0771,-0.0295,-0.4926,1.18
9.611204,1.2340,-0.0172,-0.7683,1.45
9.626423,1.6281,0.0224,-0.9477,1.88
9.650703,1.3142,0.0796,-0.7546,1.52
9.667362,0.9681,0.0620,-0.4334,1.06
9.696545,0.4279,0.1314,-0.2223,0.50
9.709256,0.4382,0.2282,-0.2604,0.56
9.734326,1.1035,0.2003,-0.4046,1.19
9.750879,1.5303,0.0830,-0.5786,1.64
9.776035,1.3978,-0.1668,-0.5733,1.52
9.792262,1.1685,-0.2216,-0.4061,1.26
9.810269,0.9055,-0.1443,-0.2658,0.95
9.830640,0.6586,0.0483,-0.1098,0.67
9.851996,0.5677,0.2600,-0.0472,0.63
9.876470,0.6361,0.3216,-0.1489,0.73
9.892975,0.7051,0.2575,-0.2301,0.79
