time,gFx,gFy,gFz,TgF
0.006545,0.9852,-0.0158,-0.1802,1.00
0.030810,0.9730,-0.0070,-0.2007,0.99
0.048285,0.9784,-0.0021,-0.1812,0.99
0.065392,0.9666,-0.0021,-0.1763,0.98
0.096737,0.9544,-0.0094,-0.1704,0.97
0.106012,0.9603,-0.0138,-0.1714,0.98
0.134234,0.9593,-0.0495,-0.1631,0.97
0.148678,0.9691,-0.0207,-0.2076,0.99
0.172985,0.9632,-0.0070,-0.1856,0.98
0.190629,0.9608,-0.0021,-0.1866,0.98
0.221723,0.9764,0.0004,-0.2198,1.00
0.232854,0.9896,-0.0021,-0.2296,1.02
0.248430,1.0008,0.0009,-0.2531,1.03
0.273177,0.9979,0.0048,-0.2594,1.03
0.290262,0.9842,0.0057,-0.2501,1.02
0.322924,0.9495,0.0141,-0.2340,0.98
0.335133,0.9446,0.0087,-0.2242,0.97
0.356436,0.9524,-0.0031,-0.2056,0.97
0.372174,0.9588,0.0004,-0.2120,0.98
0.389440,0.9666,0.0087,-0.2047,0.99
0.414459,0.9617,0.0141,-0.1724,0.98
0.441794,0.9407,0.0175,-0.1479,0.95
0.457981,0.9446,0.0101,-0.1484,0.96
0.474237,0.9192,0.0097,-0.1499,0.93
0.492548,0.9153,0.0097,-0.1709,0.93
0.515171,0.9300,0.0150,-0.1988,0.95
0.535746,0.9656,0.0336,-0.2007,0.99
0.555406,0.9969,0.0282,-0.1968,1.02
0.575058,1.0028,0.0189,-0.1900,1.02
0.598403,0.9593,0.0185,-0.1734,0.98
0.616081,0.9485,0.0258,-0.1396,0.96
0.636388,0.9402,0.0346,-0.1230,0.95
0.657059,0.9256,0.0468,-0.1220,0.93
0.681026,0.9260,0.0678,-0.1220,0.94
0.698151,0.9520,0.0825,-0.1543,0.97
0.716075,0.9754,0.1011,-0.2032,1.00
0.739883,0.9696,0.1397,-0.2443,1.01
0.756105,0.9705,0.1671,-0.2614,1.02
0.780865,0.9876,0.1915,-0.2643,1.04
0.798000,0.9813,0.2130,-0.2418,1.03
0.828525,0.9862,0.2218,-0.1787,1.03
0.838931,0.9872,0.2081,-0.1616,1.02
0.864619,0.9989,0.1417,-0.1274,1.02
0.880599,0.9896,0.0889,-0.0976,1.00
0.898634,0.9803,0.0317,-0.0536,0.98
0.928776,0.9666,-0.0456,-0.0511,0.97
0.938240,0.9598,-0.0598,-0.0668,0.96
0.963062,0.9128,-0.0177,-0.1255,0.92
0.981965,0.8889,0.0605,-0.1450,0.90
1.007598,0.9011,0.1417,-0.1616,0.93
1.028344,0.9016,0.2023,-0.1851,0.94
1.038872,0.9026,0.2223,-0.1968,0.95
1.064504,0.9378,0.2468,-0.2208,0.99
1.080729,0.9505,0.2380,-0.2403,1.01
