time,gFx,gFy,gFz,TgF
0.011540,0.9891,0.0629,-0.0995,1.00
0.023738,0.9837,0.0581,-0.1010,0.99
0.032037,0.9764,0.0556,-0.0932,0.98
0.055991,0.9793,0.0556,-0.0976,0.99
0.073240,0.9803,0.0551,-0.1000,0.99
0.104623,0.9779,0.0478,-0.1010,0.98
0.116970,0.9784,0.0453,-0.1015,0.98
0.138201,0.9769,0.0468,-0.1035,0.98
0.156405,0.9740,0.0493,-0.1025,0.98
0.181097,0.9730,0.0497,-0.1088,0.98
0.203755,0.9720,0.0434,-0.1044,0.98
0.219579,0.9784,0.0395,-0.1039,0.98
0.239152,0.9847,0.0419,-0.1035,0.99
0.257627,0.9788,0.0439,-0.1000,0.98
0.281014,0.9764,0.0312,-0.0898,0.98
0.297430,0.9735,0.0292,-0.0805,0.98
0.326495,0.9490,0.0248,-0.0653,0.95
0.338541,0.9358,0.0258,-0.0619,0.94
0.363970,0.9534,0.0106,0.0168,0.95
0.380562,0.9427,0.0136,-0.0702,0.95
0.398452,0.9500,0.0004,-0.0458,0.95
0.425800,0.9945,-0.0045,-0.0560,1.00
0.440158,1.0282,0.0004,-0.0927,1.03
0.464551,1.0463,0.0258,-0.1338,1.06
0.481230,1.0453,0.0263,-0.1577,1.06
0.511688,1.0228,0.0155,-0.1685,1.04
0.519369,1.0140,0.0185,-0.1651,1.03
0.549074,0.9627,0.0150,-0.1269,0.97
0.563728,0.9392,0.0126,-0.1113,0.95
0.580519,0.9300,0.0092,-0.1015,0.94
0.611137,0.9568,0.0282,-0.1118,0.96
0.620982,0.9676,0.0277,-0.1176,0.98
0.646725,0.9808,0.0263,-0.1318,0.99
0.666262,0.9837,0.0233,-0.1421,0.99
0.681555,0.9930,0.0263,-0.1489,1.00
0.711349,0.9818,0.0331,-0.1514,0.99
0.730355,0.9661,0.0556,-0.1479,0.98
0.748112,0.9593,0.0786,-0.1421,0.97
0.765196,0.9568,0.0918,-0.1382,0.97
0.787596,0.9436,0.1201,-0.1396,0.96
0.811481,0.9471,0.1446,-0.1387,0.97
0.829417,0.9637,0.1588,-0.1396,0.99
0.846899,0.9872,0.1729,-0.1416,1.01
0.865010,1.0121,0.1754,-0.1347,1.04
0.888886,1.0145,0.1558,-0.1274,1.03
0.910289,0.9935,0.1387,-0.1093,1.01
0.929256,0.9749,0.1333,-0.0922,0.99
0.946614,0.9573,0.1456,-0.0643,0.97
0.973063,0.9388,0.1475,-0.0257,0.95
0.988684,0.9549,0.1387,-0.0448,0.97
1.010480,0.9500,0.1280,-0.0746,0.96
1.032114,0.9656,0.1216,-0.1113,0.98
1.046553,0.9769,0.1216,-0.1303,0.99
1.073094,0.9779,0.1289,-0.1079,0.99
1.090273,0.9564,0.1377,-0.0917,0.97
1.111010,0.9383,0.1221,-0.0873,0.95
1.131072,0.9226,0.1074,-0.0819,0.93
1.157049,0.9319,0.1021,-0.0702,0.94
1.172723,0.9529,0.0996,-0.0795,0.96
1.188658,0.9647,0.1025,-0.0956,0.97
1.213270,0.9769,0.0981,-0.1020,0.99
1.231899,0.9920,0.0957,-0.0824,1.00
1.256054,0.9788,0.1055,-0.0678,0.99
1.271315,0.9700,0.1157,-0.0580,0.98
1.301218,0.9392,0.1426,-0.0634,0.95
1.313094,0.9280,0.1514,-0.0683,0.94
1.329894,0.9026,0.1607,-0.0810,0.92
1.356051,0.8879,0.1373,-0.0736,0.90
1.372058,0.8781,0.1138,-0.0702,0.89
1.396527,0.8669,0.0776,-0.0668,0.87
1.420790,0.8214,0.0566,-0.0785,0.83
1.438207,0.7696,0.0434,-0.0800,0.77
1.454370,0.7193,0.0317,-0.0624,0.72
1.480981,0.6401,0.0561,0.0051,0.64
1.496740,0.6093,0.1118,0.0486,0.62
1.523034,0.6430,0.2340,0.0647,0.69
1.538430,0.7290,0.2824,0.0681,0.78
1.554129,0.8351,0.2780,0.0701,0.88
1.580913,0.9319,0.1417,0.0315,0.94
1.597865,0.9373,0.0551,0.0398,0.94
1.618339,0.9549,0.0043,0.0926,0.96
1.638107,0.8811,-0.0387,-0.1401,0.89
1.654496,1.1690,0.0077,-0.1020,1.17
1.680689,1.3900,0.0268,-0.3264,1.43
1.696489,1.3846,0.0835,-0.3103,1.42
1.719558,1.4443,0.0854,-0.2056,1.46
1.736405,1.5059,-0.0691,-0.2692,1.53
1.762258,1.6437,-0.2666,-0.3948,1.71
1.779357,1.5283,-0.1712,-0.3626,1.58
1.797760,1.2296,0.0194,-0.1079,1.23
1.818656,0.9896,0.1006,-0.0311,1.00
1.837881,0.8381,0.0977,-0.0350,0.84
1.862270,0.8772,-0.0573,-0.0746,0.88
1.878921,0.9138,-0.1013,-0.1313,0.93
1.910204,0.9867,-0.1311,-0.2609,1.03
1.918410,1.0106,-0.1121,-0.2775,1.05
1.946243,0.9960,-0.0265,-0.2643,1.03
1.962938,0.9583,0.0062,-0.2159,0.98
1.978649,0.9197,0.0199,-0.1621,0.93
2.010138,0.7887,-0.0128,-0.1088,0.80
2.020639,0.7628,-0.0339,-0.0927,0.77
2.046605,0.7540,-0.0876,-0.0541,0.76
2.062714,0.8234,-0.0999,-0.0780,0.83
2.079081,0.8830,-0.0867,-0.1264,0.90
2.110928,0.9784,-0.0490,-0.1807,1.00
2.124361,1.0072,-0.0314,-0.1915,1.03
2.146598,1.0488,-0.0026,-0.1699,1.06
2.161346,1.0468,0.0111,-0.1416,1.06
2.186579,0.9608,-0.0001,-0.1152,0.97
