time,gFx,gFy,gFz,TgF
0.001576,1.0312,-0.0427,-0.1636,1.04
0.005397,1.0253,-0.0402,-0.1660,1.04
0.023893,0.9974,-0.0383,-0.1572,1.01
0.044274,0.9671,-0.0343,-0.1450,0.98
0.068014,0.9515,-0.0378,-0.1255,0.96
0.085966,0.9578,-0.0339,-0.1147,0.97
0.110305,0.9661,-0.0158,-0.1303,0.98
0.127663,0.9681,-0.0143,-0.1303,0.98
0.144411,0.9710,-0.0153,-0.1313,0.98
0.170095,0.9793,-0.0202,-0.1357,0.99
0.192673,0.9784,-0.0241,-0.1357,0.99
0.208411,0.9705,-0.0246,-0.1284,0.98
0.229568,0.9749,-0.0295,-0.1255,0.98
0.252586,0.9793,-0.0348,-0.1279,0.99
0.270393,0.9832,-0.0314,-0.1250,0.99
0.293022,0.9759,-0.0270,-0.1201,0.98
0.313974,0.9603,-0.0158,-0.1215,0.97
0.332525,0.9505,-0.0099,-0.1044,0.96
0.352954,0.9505,-0.0035,-0.1054,0.96
0.369972,0.9661,-0.0026,-0.1171,0.97
0.394091,0.9539,0.0282,-0.1093,0.96
0.408233,0.9847,0.0405,-0.1724,1.00
0.427787,0.8527,0.0317,-0.1753,0.87
0.452999,0.8899,0.0615,-0.1191,0.90
0.470039,0.9300,0.0849,-0.2770,0.97
0.491959,0.9065,0.1930,-0.1181,0.93
0.511582,0.9906,0.1187,-0.1064,1.00
0.529432,1.1201,0.0351,-0.1431,1.13
0.552147,1.2355,-0.0241,-0.1680,1.25
0.569300,1.2355,-0.0583,-0.1607,1.25
0.591491,1.1583,-0.0500,-0.1259,1.17
0.610417,1.0967,-0.0138,-0.1489,1.11
0.635486,1.0307,0.0497,-0.1088,1.04
0.652410,0.9857,0.0913,-0.0976,0.99
0.670490,0.9485,0.1465,-0.0956,0.96
0.703820,0.9221,0.2145,-0.1108,0.95
0.711556,0.9207,0.2067,-0.1206,0.95
0.735647,0.9612,0.1817,-0.1347,0.99
0.752216,0.9876,0.1387,-0.1387,1.01
0.782554,0.9940,0.0737,-0.1543,1.01
0.798324,1.0008,0.1338,-0.1421,1.02
0.819129,0.9979,0.2096,-0.1245,1.03
0.835748,1.0023,0.1964,-0.1176,1.03
0.852496,0.9671,0.1720,-0.1074,0.99
0.877819,0.8948,0.1607,-0.0692,0.91
0.910198,0.8121,0.0820,-0.0746,0.82
0.913078,0.8151,0.0732,-0.0746,0.82
0.935772,0.7975,0.0546,-0.0702,0.80
0.953668,0.8097,0.0908,-0.0482,0.82
0.977800,0.8170,0.1593,-0.0272,0.83
1.008264,0.8987,0.2458,0.0305,0.93
1.018101,0.9490,0.2609,0.0212,0.98
1.034979,1.0551,0.2502,-0.0111,1.08
1.061823,1.1881,0.2018,0.0065,1.21
1.077472,1.2580,0.1803,0.0163,1.27
1.106122,1.2951,0.2223,-0.2423,1.34
1.117591,1.4755,0.2761,-0.1382,1.51
1.141897,1.5562,0.2419,-0.3733,1.62
1.159586,1.4975,0.2213,-0.4598,1.58
1.177672,1.3025,0.1089,-0.4290,1.38
1.197993,1.0375,0.0243,-0.3870,1.11
1.220156,0.7765,-0.1135,-0.3059,0.84
1.237171,0.6919,-0.1742,-0.2047,0.74
1.261694,0.8121,-0.1815,-0.2144,0.86
1.277722,0.8962,-0.1043,-0.2711,0.94
1.299388,0.9417,-0.0505,-0.3044,0.99
1.317185,0.9260,-0.0172,-0.3073,0.98
1.343502,0.8840,0.0023,-0.3059,0.94
1.361972,0.8801,0.0062,-0.2966,0.93
1.378998,0.8517,-0.0309,-0.2853,0.90
1.415479,0.7549,-0.1018,-0.2198,0.79
1.418971,0.7378,-0.1028,-0.2164,0.78
1.443993,0.6733,-0.0891,-0.1812,0.70
1.459997,0.6953,-0.0700,-0.1812,0.72
1.487267,0.8175,-0.0226,-0.2262,0.85
1.515439,0.9226,0.0253,-0.2702,0.96
1.519044,0.9397,0.0356,-0.2667,0.98
1.542729,1.0092,0.0356,-0.2819,1.05
1.563007,0.9906,-0.0407,-0.2550,1.02
1.586912,0.9466,-0.1126,-0.1895,0.97
1.614785,0.9084,-0.1502,-0.1044,0.93
1.626618,0.8654,-0.1541,-0.0810,0.88
1.643288,0.8146,-0.1815,-0.0731,0.84
1.667930,0.7735,-0.1844,-0.0805,0.80
1.685682,0.8214,-0.1922,-0.1382,0.85
1.715106,0.9544,-0.2304,-0.1734,1.00
1.721285,0.9735,-0.2362,-0.1729,1.02
1.743943,1.0492,-0.2587,-0.1822,1.10
1.769461,1.0781,-0.2260,-0.1641,1.11
1.791959,1.0444,-0.1830,-0.1343,1.07
1.815112,0.9857,-0.1336,-0.0917,1.00
1.827086,0.9583,-0.1175,-0.1250,0.97
1.844282,1.0302,-0.0578,-0.1171,1.04
1.869845,1.0253,-0.1307,-0.1137,1.04
1.887485,1.2355,-0.1869,-0.2423,1.27
1.906201,1.4042,-0.2152,-0.2956,1.45
1.927695,1.3959,-0.2235,-0.3899,1.47
1.951868,1.1734,-0.1527,-0.4124,1.25
1.969671,1.0160,-0.1194,-0.4149,1.10
1.986783,0.9163,-0.0617,-0.4075,1.00
2.017621,0.7901,0.0336,-0.3797,0.88
2.027175,0.8302,0.0786,-0.3709,0.91
2.051051,0.9270,0.2164,-0.3831,1.03
