time,gFx,gFy,gFz,TgF
0.005888,0.9793,-0.0099,-0.1123,0.99
0.026552,0.9872,-0.0065,-0.1250,1.00
0.052159,0.9784,-0.0084,-0.1220,0.99
0.074862,0.9744,-0.0128,-0.1211,0.98
0.093874,0.9730,-0.0079,-0.1240,0.98
0.110755,0.9749,-0.0079,-0.1279,0.98
0.126036,0.9754,-0.0065,-0.1269,0.98
0.152239,0.9754,-0.0099,-0.1269,0.98
0.173625,0.9774,-0.0104,-0.1269,0.99
0.188881,0.9710,-0.0104,-0.1245,0.98
0.209858,0.9735,-0.0119,-0.1284,0.98
0.227327,0.9754,-0.0123,-0.1303,0.98
0.252145,0.9744,-0.0133,-0.1382,0.98
0.273368,0.9647,-0.0094,-0.1289,0.97
0.293104,0.9598,-0.0197,-0.1289,0.97
0.309534,0.9363,0.0072,-0.1318,0.95
0.334428,0.9593,-0.0246,-0.1162,0.97
0.351307,0.9656,-0.0280,-0.1147,0.97
0.374750,0.9715,-0.0251,-0.1391,0.98
0.392843,0.9876,-0.0251,-0.1504,1.00
0.409003,0.9881,-0.0177,-0.1533,1.00
0.434932,0.9730,-0.0241,-0.1479,0.98
0.451301,0.9603,-0.0260,-0.1504,0.97
0.476178,0.9568,-0.0480,-0.1519,0.97
0.492838,0.9691,-0.0617,-0.1553,0.98
0.517152,0.9876,-0.0632,-0.1587,1.00
0.533503,0.9911,-0.0598,-0.1616,1.01
0.559242,0.9720,-0.0466,-0.1651,0.99
0.577757,0.9637,-0.0324,-0.1592,0.98
0.600729,0.9588,-0.0314,-0.1553,0.97
0.618087,0.9617,-0.0461,-0.1592,0.98
0.634767,0.9642,-0.0656,-0.1607,0.98
0.660236,0.9740,-0.0544,-0.1758,0.99
0.680534,0.9661,-0.0158,-0.1856,0.98
0.700644,0.9583,0.0023,-0.1871,0.98
0.719945,0.9476,0.0009,-0.2076,0.97
0.743260,0.9216,0.0194,-0.2076,0.94
0.760341,0.8957,0.0561,-0.1954,0.92
0.781124,0.8899,0.1050,-0.1900,0.92
0.800625,0.9011,0.1558,-0.1895,0.93
0.818259,0.9353,0.2052,-0.1880,0.98
0.843683,1.0092,0.2590,-0.1880,1.06
0.860036,1.0478,0.2448,-0.1660,1.09
0.877928,1.0820,0.1695,-0.1308,1.10
0.900119,1.1284,0.0121,-0.0966,1.13
0.924705,1.1236,-0.0915,-0.1079,1.13
0.941468,1.0595,-0.0524,-0.0995,1.07
0.958571,0.9436,0.0732,-0.1039,0.95
0.984139,0.8654,0.2169,-0.1196,0.90
1.000349,0.8537,0.2585,-0.1387,0.90
1.028070,0.8732,0.2477,-0.1479,0.92
1.043131,0.8894,0.2062,-0.1475,0.92
1.059838,0.9168,0.1456,-0.1475,0.94
1.084447,0.9480,0.0908,-0.1494,0.96
1.101550,0.9490,0.0757,-0.1509,0.96
1.125086,0.9402,0.0991,-0.1352,0.96
1.142115,0.9378,0.1304,-0.1147,0.95
1.167523,0.9515,0.1627,-0.1064,0.97
1.184790,0.9612,0.1641,-0.1181,0.98
1.201474,0.9740,0.1333,-0.1426,0.99
1.224301,1.0008,0.1250,-0.1284,1.02
1.242163,1.0096,0.1299,-0.1352,1.03
1.266507,0.9925,0.1549,-0.1636,1.02
1.282708,1.0077,0.1661,-0.1079,1.03
1.307943,1.0106,0.1783,-0.0414,1.03
1.326009,1.0004,0.1534,-0.0233,1.01
1.349068,0.9857,0.1236,0.0139,0.99
1.369158,1.0023,0.0952,-0.0223,1.01
1.393187,1.0800,0.1074,-0.1724,1.10
1.407717,1.1128,0.1558,-0.2907,1.16
1.424750,1.1998,0.1607,-0.3880,1.27
1.449799,1.2194,0.1143,-0.4838,1.32
1.467340,1.1128,0.1045,-0.4276,1.20
1.491766,0.8762,0.0537,-0.3342,0.94
1.508519,0.7574,-0.0158,-0.2922,0.81
1.532579,0.6596,-0.1194,-0.2262,0.71
1.550046,0.6665,-0.1649,-0.2496,0.73
1.568249,0.7779,-0.1952,-0.3552,0.88
1.591485,0.9955,-0.1272,-0.4554,1.10
1.608422,1.0742,-0.0593,-0.4471,1.17
1.632448,1.1309,0.0204,-0.4134,1.20
1.649763,1.1045,0.0639,-0.3367,1.16
1.679237,0.9964,0.0380,-0.2545,1.03
1.697453,0.8855,-0.0236,-0.2071,0.91
1.718537,0.7882,-0.0710,-0.1646,0.81
1.732700,0.7241,-0.1033,-0.1450,0.75
1.749917,0.7080,-0.1121,-0.1294,0.73
1.775885,0.8273,-0.1047,-0.1685,0.85
1.796935,0.9857,-0.1223,-0.2374,1.02
1.817628,1.0849,-0.1150,-0.2843,1.13
1.832160,1.1265,-0.0955,-0.3195,1.17
1.859356,1.1064,-0.0876,-0.3049,1.15
1.874056,1.0483,-0.1077,-0.2438,1.08
1.896119,0.9451,-0.1507,-0.1563,0.97
1.917200,0.9295,-0.1805,-0.0883,0.95
1.932567,0.9348,-0.1742,-0.0448,0.95
1.957110,0.9881,-0.1512,-0.0570,1.00
1.975225,1.0316,-0.1551,-0.0976,1.05
1.996822,1.0453,-0.1707,-0.1284,1.07
2.018248,1.0292,-0.1903,-0.1621,1.06
2.039964,0.9466,-0.1830,-0.1010,0.97
2.057794,0.8977,-0.1761,-0.0414,0.92
2.085141,0.8073,-0.1517,0.0070,0.82
2.107171,0.7628,-0.1292,0.0080,0.77
2.123883,0.7628,-0.1106,0.0060,0.77
2.141260,0.7921,-0.1043,-0.0115,0.80
2.157862,0.8332,-0.1131,-0.0086,0.84
2.185879,0.9397,-0.1443,-0.0399,0.95
2.199495,0.9813,-0.1541,-0.0727,1.00
2.224049,1.0096,-0.1414,-0.0951,1.02
2.241416,1.0209,-0.1404,-0.1460,1.04
2.264619,1.0840,-0.1487,-0.0521,1.10
2.285991,1.2018,-0.1238,-0.0805,1.21
2.299099,1.3103,-0.1258,-0.1196,1.32
2.324705,1.2575,-0.2133,-0.2135,1.29
2.340329,1.1676,-0.2587,-0.3230,1.24
2.364771,1.0165,-0.2406,-0.4222,1.13
2.383913,0.9847,-0.1898,-0.4638,1.10
2.406383,0.9989,-0.1145,-0.4985,1.12
2.424582,1.0517,-0.0275,-0.5659,1.19
2.440345,1.0972,0.0889,-0.5610,1.24
2.465954,1.0805,0.2223,-0.4774,1.20
2.485541,0.9891,0.1206,-0.4359,1.09
2.506573,0.9476,0.0678,-0.3337,1.01
2.524940,0.9104,0.0356,-0.2946,0.96
2.548023,0.9050,0.0013,-0.2941,0.95
2.565244,0.9080,0.0194,-0.3195,0.96
2.586085,0.9040,0.0835,-0.3259,0.96
2.605672,0.9060,0.1143,-0.3044,0.96
2.623976,0.9236,0.1069,-0.2878,0.97
2.648972,0.8864,0.0986,-0.2599,0.93
2.665624,0.8366,0.0825,-0.2179,0.87
2.686111,0.7926,0.0336,-0.1753,0.81
2.705735,0.7251,-0.0031,-0.1416,0.74
2.731194,0.6997,-0.0006,-0.1206,0.71
2.748870,0.7070,0.0287,-0.1103,0.72
2.776094,0.7354,0.1079,-0.1064,0.75
2.789325,0.7667,0.1250,-0.1074,0.78
2.815299,0.8596,0.1407,-0.1367,0.88
2.831299,0.9236,0.1563,-0.1567,0.95
2.849560,0.9803,0.1676,-0.1743,1.01
2.876731,1.0277,0.1612,-0.1465,1.05
2.897710,1.0458,0.1612,-0.1088,1.06
2.915301,1.0639,0.1602,-0.0775,1.08
2.931314,1.1001,0.1490,-0.0756,1.11
2.956870,1.1426,0.1710,-0.1426,1.16
2.972341,1.1465,0.2340,-0.2301,1.19
2.989938,1.2243,0.3118,-0.3068,1.30
3.015647,1.3069,0.2497,-0.4085,1.39
3.031745,1.3357,0.1451,-0.4789,1.43
3.055908,1.2257,0.0581,-0.5410,1.34
3.072582,1.0815,-0.0710,-0.5229,1.20
3.092792,0.9363,-0.2045,-0.4227,1.05
3.113597,0.8273,-0.2534,-0.2936,0.91
3.140430,0.8503,-0.1947,-0.2550,0.91
3.155856,0.9006,-0.1531,-0.3005,0.96
3.172527,0.9769,-0.1067,-0.3132,1.03
3.198376,1.0087,-0.0319,-0.2819,1.05
3.213936,1.0145,0.0199,-0.2726,1.05
3.238856,0.9652,0.0336,-0.2565,1.00
3.255310,0.9065,-0.0187,-0.2726,0.95
3.282897,0.8102,-0.0656,-0.2506,0.85
3.297575,0.7080,-0.0759,-0.2237,0.75
3.321486,0.5794,-0.0852,-0.1597,0.61
3.337519,0.5545,-0.0779,-0.1127,0.57
3.363346,0.6088,-0.0764,-0.0878,0.62
3.381184,0.6860,-0.0979,-0.1220,0.70
3.397813,0.7628,-0.1145,-0.1553,0.79
3.421755,0.8278,-0.1175,-0.1836,0.86
3.439170,0.8674,-0.1399,-0.2125,0.90
3.463561,0.9256,-0.1962,-0.2286,0.97
3.479389,0.9637,-0.1874,-0.2051,1.00
3.504634,1.0390,-0.1834,-0.2218,1.08
3.522739,1.0419,-0.1712,-0.2091,1.08
3.547349,1.0194,-0.1707,-0.2017,1.05
3.563403,0.9984,-0.1644,-0.1739,1.03
3.591564,0.9564,-0.1947,-0.1362,0.99
3.603830,0.9300,-0.2001,-0.1113,0.96
3.620837,0.9026,-0.2074,-0.0961,0.93
3.648083,0.9031,-0.1761,-0.0839,0.92
3.663494,0.9207,-0.1527,-0.0883,0.94
3.693394,0.9867,-0.0999,-0.1176,1.00
3.704497,0.9705,-0.0871,-0.0986,0.98
3.722354,0.9598,-0.0505,-0.1113,0.97
3.745648,1.1534,-0.0290,-0.1519,1.16
3.763991,1.1475,-0.1517,-0.2130,1.18
3.790993,1.2267,-0.2323,-0.2306,1.27
3.804118,1.2150,-0.2216,-0.2443,1.26
3.829287,1.1348,-0.1991,-0.3112,1.19
3.847291,1.0580,-0.1712,-0.3376,1.12
3.871076,0.9358,-0.1013,-0.3748,1.01
3.891570,0.8860,-0.0417,-0.4100,0.98
3.912866,0.9417,0.0737,-0.4046,1.03
3.930902,1.0409,0.1729,-0.4227,1.14
3.946988,1.0849,0.1749,-0.4466,1.19
3.970862,1.1563,0.1016,-0.3894,1.22
3.991218,1.1309,0.0757,-0.3577,1.19
4.012398,1.1216,0.0229,-0.3195,1.17
4.029983,1.0483,0.0087,-0.2604,1.08
4.054889,0.8503,0.0243,-0.1734,0.87
4.071116,0.7525,0.0248,-0.1357,0.77
4.091128,0.6537,0.0229,-0.1079,0.66
4.112346,0.6381,0.0229,-0.1059,0.65
4.138976,0.6728,0.0263,-0.1167,0.68
4.154301,0.7119,0.0449,-0.1401,0.73
4.171221,0.7432,0.0957,-0.1734,0.77
4.195877,0.8341,0.1368,-0.1959,0.87
4.212308,0.9172,0.1245,-0.2056,0.95
4.238162,0.9759,0.0928,-0.1998,1.00
4.254740,0.9945,0.0849,-0.2007,1.02
4.270582,0.9808,0.0776,-0.1621,1.00
4.291986,0.9251,0.0942,-0.1313,0.94
4.311380,0.8967,0.1294,-0.0932,0.91
4.338566,0.8977,0.1602,-0.0795,0.92
4.353988,0.9133,0.1637,-0.0800,0.93
4.379233,0.9099,0.1597,-0.1201,0.93
4.395098,0.9124,0.1436,-0.1167,0.93
4.420209,0.9075,0.1646,-0.1162,0.93
4.436805,0.9158,0.1739,-0.1206,0.94
4.461580,0.9246,0.1861,-0.1093,0.95
4.479302,0.9304,0.1979,-0.1064,0.96
4.497015,0.9471,0.2018,-0.1186,0.98
4.519342,0.9622,0.1925,-0.1030,0.99
4.537496,0.9647,0.1793,-0.1044,0.99
4.560525,1.0018,0.1387,-0.1157,1.02
4.577716,1.0556,0.0903,-0.0947,1.06
4.602583,1.1666,0.0928,-0.1215,1.18
4.619950,1.2536,0.1607,-0.1968,1.28
4.646085,1.2560,0.3841,-0.3166,1.35
4.661734,1.3250,0.3352,-0.3288,1.41
4.687167,1.3734,0.1734,-0.4212,1.45
4.704710,1.2795,0.1153,-0.4462,1.36
4.719033,1.1294,0.0307,-0.4481,1.22
4.745059,0.8601,-0.1023,-0.3577,0.94
4.760977,0.7515,-0.1448,-0.2755,0.81
4.786389,0.7823,-0.1487,-0.2247,0.83
4.803429,0.8644,-0.1209,-0.2907,0.92
4.828110,0.9456,-0.0544,-0.3489,1.01
4.844231,0.9344,-0.0099,-0.3518,1.00
4.869108,0.9026,-0.0221,-0.3073,0.95
4.885986,0.8796,-0.0387,-0.2667,0.92
